exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,10219132621.16,3321730,Alagoas
2015,1,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,10469642891.21,3321730,Alagoas
2015,1,AL,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,9703158277.34,3321730,Alagoas
2015,1,AL,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,9953668547.39,3321730,Alagoas
2015,1,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,9540213509.39,3321730,Alagoas
2015,1,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,9384443731.93,3321730,Alagoas
2015,2,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,10219132621.16,3321730,Alagoas
2015,2,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,10469642891.21,3321730,Alagoas
2015,2,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,10855443448.77,3321730,Alagoas
2015,2,AL,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,9703158277.34,3321730,Alagoas
2015,2,AL,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,9953668547.39,3321730,Alagoas
2015,2,AL,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,10339469104.95,3321730,Alagoas
2015,2,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,9540213509.39,3321730,Alagoas
2015,2,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,9384443731.93,3321730,Alagoas
2015,2,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,9677269002.27,3321730,Alagoas
2015,3,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,10219132621.16,3321730,Alagoas
2015,3,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,10469642891.21,3321730,Alagoas
2015,3,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,10855443448.77,3321730,Alagoas
2015,3,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,11252027857.87,3321730,Alagoas
2015,3,AL,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,9703158277.34,3321730,Alagoas
2015,3,AL,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,9953668547.39,3321730,Alagoas
2015,3,AL,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,10339469104.95,3321730,Alagoas
2015,3,AL,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,10789647411.1,3321730,Alagoas
2015,3,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,9540213509.39,3321730,Alagoas
2015,3,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,9384443731.93,3321730,Alagoas
2015,3,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,9906049002.27,3321730,Alagoas
2015,3,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,10555304801.52,3321730,Alagoas
2016,1,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,11252027857.87,3340932,Alagoas
2016,1,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,11232433085.57,3340932,Alagoas
2016,1,AL,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,10789647411.1,3340932,Alagoas
2016,1,AL,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,10788492840.28,3340932,Alagoas
2016,1,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,10555304801.52,3340932,Alagoas
2016,1,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10434843520.81,3340932,Alagoas
2016,2,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,11252027857.87,3340932,Alagoas
2016,2,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,11232433085.57,3340932,Alagoas
2016,2,AL,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,9173543771.43,3340932,Alagoas
2016,2,AL,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,10789647411.1,3340932,Alagoas
2016,2,AL,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,10788492840.28,3340932,Alagoas
2016,2,AL,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,8729603526.14,3340932,Alagoas
2016,2,AL,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,10555304801.52,3340932,Alagoas
