exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,16911138138.28,15126371,Bahia
2015,1,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,17856897002.27,15126371,Bahia
2015,1,BA,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,14631735880.32,15126371,Bahia
2015,1,BA,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,15597538396.38,15126371,Bahia
2015,1,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,11371115313.39,15126371,Bahia
2015,1,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10536948573.97,15126371,Bahia
2015,2,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,16911250628.54,15126371,Bahia
2015,2,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,17856897002.27,15126371,Bahia
2015,2,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,19729379930.1,15126371,Bahia
2015,2,BA,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,14631848370.58,15126371,Bahia
2015,2,BA,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,15597538396.38,15126371,Bahia
2015,2,BA,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,17476471431.69,15126371,Bahia
2015,2,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,11371227803.65,15126371,Bahia
2015,2,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10536799940.67,15126371,Bahia
2015,2,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,13387754681.93,15126371,Bahia
2015,3,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,16911138138.28,15126371,Bahia
2015,3,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,17856897002.27,15126371,Bahia
2015,3,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,19729379930.1,15126371,Bahia
2015,3,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,21381306825.23,15126371,Bahia
2015,3,BA,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,14631735880.32,15126371,Bahia
2015,3,BA,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,15597538396.38,15126371,Bahia
2015,3,BA,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,17476471431.69,15126371,Bahia
2015,3,BA,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,18891511151.06,15126371,Bahia
2015,3,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,11371115313.39,15126371,Bahia
2015,3,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10536799940.67,15126371,Bahia
2015,3,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,13387754681.93,15126371,Bahia
2015,3,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,16136539853.17,15126371,Bahia
2016,1,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,21381306825.23,15203934,Bahia
2016,1,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,19965358652.02,15203934,Bahia
2016,1,BA,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,18891511151.06,15203934,Bahia
2016,1,BA,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,17580575086.6,15203934,Bahia
2016,1,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,16136539853.17,15203934,Bahia
2016,1,BA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,14853964594.4,15203934,Bahia
2016,2,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,21381306825.23,15203934,Bahia
2016,2,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,19965358652.02,15203934,Bahia
2016,2,BA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,19237408467.68,15203934,Bahia
2016,2,BA,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,18891511151.06,15203934,Bahia
2016,2,BA,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,17580575086.6,15203934,Bahia
