exercicio,periodo,uf,anexo,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,BA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),15703480053.55,15126371,Bahia
2015,1,BA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),10471139538.47,15126371,Bahia
2015,1,BA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),5190211079.18,15126371,Bahia
2015,1,BA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),12133918828.1,15126371,Bahia
2015,1,BA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,26359248933.73,15126371,Bahia
2015,1,BA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,12133918828.1,15126371,Bahia
2015,1,BA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,46.03,15126371,Bahia
2015,1,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,16911138138.28,15126371,Bahia
2015,1,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,17856897002.27,15126371,Bahia
2015,1,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,14631735880.32,15126371,Bahia
2015,1,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,15597538396.38,15126371,Bahia
2015,1,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,11371115313.39,15126371,Bahia
2015,1,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10536948573.97,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),16550318522.7,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),2460376.32,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),11046182400.92,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),1768376.71,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),5445590365.71,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),12283118281.89,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),2256621.62,15126371,Bahia
2015,2,BA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,26731073691.73,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,12285374903.51,15126371,Bahia
2015,2,BA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,45.96,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,16911250628.54,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,17856897002.27,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,19729379930.1,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,14631848370.58,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,15597538396.38,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,17476471431.69,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,11371227803.65,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10536799940.67,15126371,Bahia
2015,2,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,13387754681.93,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),16688314415.72,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),3097333.35,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),11805971473.79,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),1302279.77,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),4782365604.29,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),12949677280.01,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),3097333.35,15126371,Bahia
2015,3,BA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,27207610584.58,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,12952774613.36,15126371,Bahia
2015,3,BA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,47.61,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,16911138138.28,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,17856897002.27,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,19729379930.1,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,21381306825.23,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,14631735880.32,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,15597538396.38,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,17476471431.69,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,18891511151.06,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,11371115313.39,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10536799940.67,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,13387754681.93,15126371,Bahia
2015,3,BA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,16136539853.17,15126371,Bahia
2016,1,BA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),"DESPESAS LIQUIDADAS 
(a)",17169702096.68,15203934,Bahia
2016,1,BA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),3097333.35,15203934,Bahia
2016,1,BA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,"DESPESAS LIQUIDADAS 
(a)",12100226586.59,15203934,Bahia
2016,1,BA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),1302279.77,15203934,Bahia
2016,1,BA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,"DESPESAS LIQUIDADAS 
(a)",4970633195.29,15203934,Bahia
