exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,CE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,8501127953.0,8842791,Ceará
2015,1,CE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,8918752015.0,8842791,Ceará
2015,1,CE,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,7853594579.0,8842791,Ceará
2015,1,CE,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,8271218641.0,8842791,Ceará
2015,1,CE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5912878069.0,8842791,Ceará
2015,1,CE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,5856319821.07,8842791,Ceará
2015,2,CE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,8501127953.0,8842791,Ceará
2015,2,CE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,8918752015.0,8842791,Ceará
2015,2,CE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,10089924626.0,8842791,Ceará
2015,2,CE,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,7853594579.0,8842791,Ceará
2015,2,CE,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,8271218641.0,8842791,Ceará
2015,2,CE,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,9442391252.0,8842791,Ceará
2015,2,CE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,6084983357.0,8842791,Ceará
2015,2,CE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,5856319821.0,8842791,Ceará
2015,2,CE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,7582150182.0,8842791,Ceará
