exercicio,periodo,uf,anexo,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,CE,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),7411496898.32,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),539324.44,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),5393296598.93,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),1451.89,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),1617202052.75,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),6590888291.27,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),539324.44,8842791,Ceará
2015,1,CE,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,14825244507.63,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,6591427615.71,8842791,Ceará
2015,1,CE,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,44.46,8842791,Ceará
2015,1,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,8501127953.0,8842791,Ceará
2015,1,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,8918752015.0,8842791,Ceará
2015,1,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,7853594579.0,8842791,Ceará
2015,1,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,8271218641.0,8842791,Ceará
2015,1,CE,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5912878069.0,8842791,Ceará
2015,1,CE,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,5856319821.07,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),7632184774.14,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),539324.44,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),5551714978.4,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),1451.89,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),1684460930.67,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),6843373044.71,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),539324.44,8842791,Ceará
2015,2,CE,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,15063988391.5,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,6843912369.15,8842791,Ceará
2015,2,CE,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,45.43,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,8501127953.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,8918752015.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,10089924626.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,7853594579.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,8271218641.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,9442391252.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,6084983357.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,5856319821.0,8842791,Ceará
2015,2,CE,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,7582150182.0,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),7854485539.82,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),4309909.62,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),5703076573.47,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),584677.52,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),1755843763.1,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),6966555122.05,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),4304759.34,8842791,Ceará
2015,3,CE,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,15176440113.0,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,6970859881.39,8842791,Ceará
2015,3,CE,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,45.93,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,8501127953.0,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,8918752015.0,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,10089924626.0,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,11113041943.0,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,7853594579.0,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,8271218641.0,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,9442391252.0,8842791,Ceará
2015,3,CE,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,10512642779.0,8842791,Ceará
