exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,MA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,5791212596.77,6850884,Maranhão
2015,1,MA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,5913640195.08,6850884,Maranhão
2015,1,MA,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5172486827.64,6850884,Maranhão
2015,1,MA,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5304669352.79,6850884,Maranhão
2015,1,MA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5247477190.13,6850884,Maranhão
2015,1,MA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4558107464.64,6850884,Maranhão
2015,2,MA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,5791212596.77,6850884,Maranhão
2015,2,MA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,5913640195.08,6850884,Maranhão
2015,2,MA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6422020199.25,6850884,Maranhão
2015,2,MA,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5172486827.64,6850884,Maranhão
2015,2,MA,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5304669352.79,6850884,Maranhão
2015,2,MA,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,5841261256.13,6850884,Maranhão
2015,2,MA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5247477190.13,6850884,Maranhão
2015,2,MA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4558107464.64,6850884,Maranhão
2015,2,MA,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,4846400610.15,6850884,Maranhão
2015,3,MA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,5791212596.77,6850884,Maranhão
2015,3,MA,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,5913640195.08,6850884,Maranhão
