exercicio,periodo,uf,anexo,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),4927510054.16,6850884,Maranhão
2015,1,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),3628289711.93,6850884,Maranhão
2015,1,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),1218877022.29,6850884,Maranhão
2015,1,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),4087955276.97,6850884,Maranhão
2015,1,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,10428277613.93,6850884,Maranhão
2015,1,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,4087955276.97,6850884,Maranhão
2015,1,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,39.2,6850884,Maranhão
2015,1,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,5791212596.77,6850884,Maranhão
2015,1,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,5913640195.08,6850884,Maranhão
2015,1,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5172486827.64,6850884,Maranhão
2015,1,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5304669352.79,6850884,Maranhão
2015,1,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5247477190.13,6850884,Maranhão
2015,1,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4558107464.64,6850884,Maranhão
2015,2,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),5290914999.95,6850884,Maranhão
2015,2,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),3823502424.94,6850884,Maranhão
2015,2,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),1360792364.45,6850884,Maranhão
2015,2,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),4403815413.23,6850884,Maranhão
2015,2,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,10443675172.86,6850884,Maranhão
2015,2,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,4403815413.23,6850884,Maranhão
2015,2,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,42.17,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,5791212596.77,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,5913640195.08,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6422020199.25,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5172486827.64,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5304669352.79,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,5841261256.13,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5247477190.13,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4558107464.64,6850884,Maranhão
2015,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,4846400610.15,6850884,Maranhão
2015,3,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),5546283106.51,6850884,Maranhão
2015,3,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),3967444012.17,6850884,Maranhão
2015,3,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),1452372993.69,6850884,Maranhão
2015,3,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),4592592578.86,6850884,Maranhão
2015,3,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,10712347552.03,6850884,Maranhão
2015,3,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,4592592578.86,6850884,Maranhão
2015,3,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,42.87,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,5791212596.77,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,5913640195.08,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6422020199.25,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,7314129163.62,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5172486827.64,6850884,Maranhão
