exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,PB,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4219518331.22,3943885,Paraíba
2015,1,PB,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4185044145.55,3943885,Paraíba
2015,1,PB,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,2926239807.09,3943885,Paraíba
2015,1,PB,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,2903680582.78,3943885,Paraíba
2015,1,PB,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,2736793745.25,3943885,Paraíba
2015,1,PB,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,2574362994.1,3943885,Paraíba
2015,2,PB,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4219518331.22,3943885,Paraíba
2015,2,PB,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4185044145.55,3943885,Paraíba
2015,2,PB,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,4329463424.3,3943885,Paraíba
2015,2,PB,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,2926239807.09,3943885,Paraíba
2015,2,PB,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,2903680582.78,3943885,Paraíba
2015,2,PB,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,2898896696.57,3943885,Paraíba
2015,2,PB,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,2736793745.25,3943885,Paraíba
2015,2,PB,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,2574362994.1,3943885,Paraíba
2015,2,PB,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,3263430865.44,3943885,Paraíba
