exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,13781558721.01,9277727,Pernambuco
2015,1,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,14343658484.27,9277727,Pernambuco
2015,1,PE,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,13316072077.7,9277727,Pernambuco
2015,1,PE,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,13878094272.95,9277727,Pernambuco
2015,1,PE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,10695491905.47,9277727,Pernambuco
2015,1,PE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10278898807.96,9277727,Pernambuco
2015,2,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,13781558721.01,9277727,Pernambuco
2015,2,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,14343658484.27,9277727,Pernambuco
2015,2,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,15522608923.87,9277727,Pernambuco
2015,2,PE,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,13316072077.7,9277727,Pernambuco
2015,2,PE,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,13878094272.95,9277727,Pernambuco
2015,2,PE,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,15098976832.3,9277727,Pernambuco
2015,2,PE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,10695491905.47,9277727,Pernambuco
2015,2,PE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,10278898807.96,9277727,Pernambuco
2015,2,PE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,11250858264.63,9277727,Pernambuco
2015,3,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,13781558721.01,9277727,Pernambuco
2015,3,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,14343658484.27,9277727,Pernambuco
2015,3,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,15522249614.67,9277727,Pernambuco
2015,3,PE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,16157271697.67,9277727,Pernambuco
2015,3,PE,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,13316072077.7,9277727,Pernambuco
2015,3,PE,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,13878094272.95,9277727,Pernambuco
