exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4364512527.48,3194718,Piauí
2015,1,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4467136307.03,3194718,Piauí
2015,1,PI,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,3102836429.65,3194718,Piauí
2015,1,PI,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,3205460209.2,3194718,Piauí
2015,1,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,3776119003.7,3194718,Piauí
2015,1,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,3732678443.13,3194718,Piauí
2015,2,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4364512527.48,3194718,Piauí
2015,2,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4467136307.03,3194718,Piauí
2015,2,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,4005982253.27,3194718,Piauí
2015,2,PI,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,3102836429.65,3194718,Piauí
2015,2,PI,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,3205460209.2,3194718,Piauí
2015,2,PI,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,3503492161.25,3194718,Piauí
2015,2,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,3776119003.7,3194718,Piauí
2015,2,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,3732678443.13,3194718,Piauí
2015,2,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,2902272114.52,3194718,Piauí
2015,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4364512527.48,3194718,Piauí
2015,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4467136307.03,3194718,Piauí
2015,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,4005982253.27,3194718,Piauí
2015,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,4488665386.74,3194718,Piauí
2015,3,PI,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,3102836429.65,3194718,Piauí
2015,3,PI,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,3205460209.2,3194718,Piauí
2015,3,PI,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,3503492161.25,3194718,Piauí
2015,3,PI,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,3972101141.33,3194718,Piauí
2015,3,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,3776119003.7,3194718,Piauí
2015,3,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,3732678443.13,3194718,Piauí
2015,3,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,2902272114.52,3194718,Piauí
2015,3,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,3762714199.03,3194718,Piauí
2016,1,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4488665386.74,3204028,Piauí
2016,1,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4094668911.5,3204028,Piauí
2016,1,PI,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,3972101141.33,3204028,Piauí
2016,1,PI,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,3605649200.72,3204028,Piauí
2016,1,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,3762714199.03,3204028,Piauí
2016,1,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,3071413759.3,3204028,Piauí
2016,2,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4488665386.74,3204028,Piauí
2016,2,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4094668911.5,3204028,Piauí
2016,2,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,4630409717.81,3204028,Piauí
2016,2,PI,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,3972101141.33,3204028,Piauí
2016,2,PI,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,3605649200.72,3204028,Piauí
2016,2,PI,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,4157112908.7,3204028,Piauí
2016,2,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,3762714199.03,3204028,Piauí
2016,2,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,3071413759.3,3204028,Piauí
2016,2,PI,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,3039999914.75,3204028,Piauí
2016,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4488665386.74,3204028,Piauí
2016,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4094668911.5,3204028,Piauí
2016,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,4630409717.81,3204028,Piauí
2016,3,PI,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,4449557724.95,3204028,Piauí
2016,3,PI,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,3972101141.33,3204028,Piauí
2016,3,PI,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,3605649200.72,3204028,Piauí
2016,3,PI,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,4157112908.7,3204028,Piauí
2016,3,PI,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,3998979455.13,3204028,Piauí
