exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,1823919645.72,3408510,Rio Grande do Norte
2015,1,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,1897000365.45,3408510,Rio Grande do Norte
2015,1,RN,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,1403755277.62,3408510,Rio Grande do Norte
2015,1,RN,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,1474235058.49,3408510,Rio Grande do Norte
2015,1,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,1285070232.96,3408510,Rio Grande do Norte
2015,1,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,305531939.4,3408510,Rio Grande do Norte
2015,2,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,1823919645.72,3408510,Rio Grande do Norte
2015,2,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,1897000365.45,3408510,Rio Grande do Norte
2015,2,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,1845535807.0,3408510,Rio Grande do Norte
2015,2,RN,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,1403755277.62,3408510,Rio Grande do Norte
2015,2,RN,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,1474235058.49,3408510,Rio Grande do Norte
2015,2,RN,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,1423501192.52,3408510,Rio Grande do Norte
2015,2,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,1285070232.96,3408510,Rio Grande do Norte
2015,2,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,305531939.4,3408510,Rio Grande do Norte
2015,2,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,574603482.81,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,1823919645.72,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,1897000365.45,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,1845535807.0,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,1766804684.05,3408510,Rio Grande do Norte
2015,3,RN,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,1403755277.62,3408510,Rio Grande do Norte
2015,3,RN,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,1474235058.49,3408510,Rio Grande do Norte
2015,3,RN,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,1423501192.52,3408510,Rio Grande do Norte
2015,3,RN,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,1345215281.78,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,1285070232.96,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,305531939.4,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,575357905.52,3408510,Rio Grande do Norte
2015,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,722653819.71,3408510,Rio Grande do Norte
2016,1,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,1848460964.64,3442175,Rio Grande do Norte
2016,1,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,1999010046.1,3442175,Rio Grande do Norte
2016,1,RN,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,1514237137.16,3442175,Rio Grande do Norte
2016,1,RN,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,1601744818.93,3442175,Rio Grande do Norte
2016,1,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,1089016640.49,3442175,Rio Grande do Norte
2016,1,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,605931778.52,3442175,Rio Grande do Norte
2016,2,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,1848460964.64,3442175,Rio Grande do Norte
2016,2,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,1999010046.1,3442175,Rio Grande do Norte
2016,2,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,1896105133.15,3442175,Rio Grande do Norte
2016,2,RN,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,1514237137.16,3442175,Rio Grande do Norte
2016,2,RN,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,1601744818.93,3442175,Rio Grande do Norte
2016,2,RN,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,1562451500.34,3442175,Rio Grande do Norte
2016,2,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,1089016640.49,3442175,Rio Grande do Norte
2016,2,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,605897676.93,3442175,Rio Grande do Norte
2016,2,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,386047127.72,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,1848460964.64,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,1999010046.1,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,1896105133.15,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,2061018249.67,3442175,Rio Grande do Norte
2016,3,RN,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,1514237137.16,3442175,Rio Grande do Norte
2016,3,RN,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,1601744818.93,3442175,Rio Grande do Norte
2016,3,RN,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,1562451500.34,3442175,Rio Grande do Norte
2016,3,RN,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,1691840845.08,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,1089016640.49,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,605897676.93,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,385680527.72,3442175,Rio Grande do Norte
2016,3,RN,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,1068411173.34,3442175,Rio Grande do Norte
2017,1,RN,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,2061018249.67,3474998,Rio Grande do Norte
