exercicio,periodo,uf,anexo,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,RN,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),LIQUIDADAS (a),5157423084.55,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,LIQUIDADAS (a),3192774074.21,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,LIQUIDADAS (a),1964649010.34,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),LIQUIDADAS (a),4192001926.34,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,7837564513.33,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,4192001926.34,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,53.49,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,1823919645.72,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,1897000365.45,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,1403755277.62,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,1474235058.49,3408510,Rio Grande do Norte
2015,1,RN,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,1285070232.96,3408510,Rio Grande do Norte
