exercicio,periodo,uf,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,1,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,4061413692.17,2219574,Sergipe
2015,1,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4491826899.5,2219574,Sergipe
2015,1,SE,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,2842838525.45,2219574,Sergipe
2015,1,SE,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,2748857858.15,2219574,Sergipe
2015,1,SE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,3493393079.67,2219574,Sergipe
2015,1,SE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,3270330619.32,2219574,Sergipe
2015,2,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,3968530952.39,2219574,Sergipe
2015,2,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4491826899.5,2219574,Sergipe
2015,2,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,4395038535.12,2219574,Sergipe
2015,2,SE,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,2842838525.45,2219574,Sergipe
2015,2,SE,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,2748857858.15,2219574,Sergipe
2015,2,SE,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,2758784512.03,2219574,Sergipe
2015,2,SE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,3397689042.95,2219574,Sergipe
2015,2,SE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,3270330619.32,2219574,Sergipe
2015,2,SE,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,3396670367.95,2219574,Sergipe
2015,3,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,3968530952.39,2219574,Sergipe
2015,3,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,4494232833.58,2219574,Sergipe
2015,3,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,4395038535.12,2219574,Sergipe
2015,3,SE,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,4842102139.4,2219574,Sergipe
