exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,AL,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1371131230.2,3321730,Alagoas
2015,1,AL,ReceitasCorrentes,RECEITAS CORRENTES,1292846262.39,3321730,Alagoas
2015,1,AL,ReceitaTributaria,RECEITA TRIBUTÁRIA,547927339.26,3321730,Alagoas
2015,1,AL,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,705443244.98,3321730,Alagoas
2015,1,AL,ReceitasDeCapital,RECEITAS DE CAPITAL,78284967.81,3321730,Alagoas
2015,2,AL,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2659174462.92,3321730,Alagoas
2015,2,AL,ReceitasCorrentes,RECEITAS CORRENTES,2502895284.74,3321730,Alagoas
2015,2,AL,ReceitaTributaria,RECEITA TRIBUTÁRIA,1089651711.58,3321730,Alagoas
2015,2,AL,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1310606421.44,3321730,Alagoas
2015,2,AL,ReceitasDeCapital,RECEITAS DE CAPITAL,156279178.18,3321730,Alagoas
2015,3,AL,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),3990461016.43,3321730,Alagoas
2015,3,AL,ReceitasCorrentes,RECEITAS CORRENTES,3791393858.29,3321730,Alagoas
2015,3,AL,ReceitaTributaria,RECEITA TRIBUTÁRIA,1662267456.63,3321730,Alagoas
2015,3,AL,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1955030079.07,3321730,Alagoas
2015,3,AL,ReceitasDeCapital,RECEITAS DE CAPITAL,199067158.14,3321730,Alagoas
2015,4,AL,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5131438456.36,3321730,Alagoas
2015,4,AL,ReceitasCorrentes,RECEITAS CORRENTES,4876148422.6,3321730,Alagoas
2015,4,AL,ReceitaTributaria,RECEITA TRIBUTÁRIA,2165781388.45,3321730,Alagoas
2015,4,AL,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2461225628.45,3321730,Alagoas
2015,4,AL,ReceitasDeCapital,RECEITAS DE CAPITAL,255290033.76,3321730,Alagoas
2015,5,AL,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),6240667405.04,3321730,Alagoas
2015,5,AL,ReceitasCorrentes,RECEITAS CORRENTES,5931922856.67,3321730,Alagoas
2015,5,AL,ReceitaTributaria,RECEITA TRIBUTÁRIA,2663944946.03,3321730,Alagoas
