exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,BA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5600600996.65,15126371,Bahia
2015,1,BA,ReceitasCorrentes,RECEITAS CORRENTES,5517860745.4,15126371,Bahia
2015,1,BA,ReceitaTributaria,RECEITA TRIBUTÁRIA,2892835561.33,15126371,Bahia
2015,1,BA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2111456685.82,15126371,Bahia
2015,1,BA,ReceitasDeCapital,RECEITAS DE CAPITAL,82740251.25,15126371,Bahia
2015,2,BA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),11466691302.99,15126371,Bahia
2015,2,BA,ReceitasCorrentes,RECEITAS CORRENTES,11164609538.95,15126371,Bahia
2015,2,BA,ReceitaTributaria,RECEITA TRIBUTÁRIA,6112911342.63,15126371,Bahia
2015,2,BA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3886698132.46,15126371,Bahia
2015,2,BA,ReceitasDeCapital,RECEITAS DE CAPITAL,302081764.04,15126371,Bahia
2015,3,BA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),17318566058.95,15126371,Bahia
2015,3,BA,ReceitasCorrentes,RECEITAS CORRENTES,16777547121.33,15126371,Bahia
2015,3,BA,ReceitaTributaria,RECEITA TRIBUTÁRIA,9058456576.31,15126371,Bahia
2015,3,BA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,5944879459.04,15126371,Bahia
2015,3,BA,ReceitasDeCapital,RECEITAS DE CAPITAL,541018937.62,15126371,Bahia
2015,4,BA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),23390894910.29,15126371,Bahia
2015,4,BA,ReceitasCorrentes,RECEITAS CORRENTES,22783932096.35,15126371,Bahia
2015,4,BA,ReceitaTributaria,RECEITA TRIBUTÁRIA,12726901207.58,15126371,Bahia
2015,4,BA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,7584119035.93,15126371,Bahia
2015,4,BA,ReceitasDeCapital,RECEITAS DE CAPITAL,606962813.94,15126371,Bahia
2015,5,BA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),28995471827.76,15126371,Bahia
2015,5,BA,ReceitasCorrentes,RECEITAS CORRENTES,28272919104.19,15126371,Bahia
2015,5,BA,ReceitaTributaria,RECEITA TRIBUTÁRIA,16165396009.29,15126371,Bahia
2015,5,BA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,8977368836.5,15126371,Bahia
2015,5,BA,ReceitasDeCapital,RECEITAS DE CAPITAL,722552723.57,15126371,Bahia
2015,6,BA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),36342627176.27,15126371,Bahia
2015,6,BA,ReceitasCorrentes,RECEITAS CORRENTES,34786961065.31,15126371,Bahia
2015,6,BA,ReceitaTributaria,RECEITA TRIBUTÁRIA,19630984102.66,15126371,Bahia
2015,6,BA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,10874905557.16,15126371,Bahia
2015,6,BA,ReceitasDeCapital,RECEITAS DE CAPITAL,1555666110.96,15126371,Bahia
2016,1,BA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5862928728.75,15203934,Bahia
2016,1,BA,ReceitasCorrentes,RECEITAS CORRENTES,5780407421.79,15203934,Bahia
