exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2271128608.31,6850884,Maranhão
2015,1,MA,ReceitasCorrentes,RECEITAS CORRENTES,2271128608.31,6850884,Maranhão
2015,1,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,918962485.06,6850884,Maranhão
2015,1,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1241628768.59,6850884,Maranhão
2015,2,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4351273612.72,6850884,Maranhão
2015,2,MA,ReceitasCorrentes,RECEITAS CORRENTES,4350969106.64,6850884,Maranhão
2015,2,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,1727040434.23,6850884,Maranhão
2015,2,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2362617360.93,6850884,Maranhão
2015,2,MA,ReceitasDeCapital,RECEITAS DE CAPITAL,304506.08,6850884,Maranhão
2015,3,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),6741540987.29,6850884,Maranhão
2015,3,MA,ReceitasCorrentes,RECEITAS CORRENTES,6538202858.98,6850884,Maranhão
2015,3,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,2586201581.09,6850884,Maranhão
2015,3,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3453833198.85,6850884,Maranhão
2015,3,MA,ReceitasDeCapital,RECEITAS DE CAPITAL,203338128.31,6850884,Maranhão
2015,4,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),8635808940.37,6850884,Maranhão
2015,4,MA,ReceitasCorrentes,RECEITAS CORRENTES,8414273481.65,6850884,Maranhão
2015,4,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,3419381557.15,6850884,Maranhão
2015,4,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,4327507707.58,6850884,Maranhão
2015,4,MA,ReceitasDeCapital,RECEITAS DE CAPITAL,221535458.72,6850884,Maranhão
2015,5,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),10710988580.95,6850884,Maranhão
2015,5,MA,ReceitasCorrentes,RECEITAS CORRENTES,10368360782.06,6850884,Maranhão
2015,5,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,4330821531.62,6850884,Maranhão
2015,5,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,5190845499.96,6850884,Maranhão
2015,5,MA,ReceitasDeCapital,RECEITAS DE CAPITAL,342627798.89,6850884,Maranhão
2015,6,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),13192879701.12,6850884,Maranhão
2015,6,MA,ReceitasCorrentes,RECEITAS CORRENTES,12626639242.8,6850884,Maranhão
2015,6,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,5326263628.58,6850884,Maranhão
2015,6,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,6246698232.24,6850884,Maranhão
2015,6,MA,ReceitasDeCapital,RECEITAS DE CAPITAL,566240458.32,6850884,Maranhão
2016,1,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2579230506.4,6904241,Maranhão
2016,1,MA,ReceitasCorrentes,RECEITAS CORRENTES,2487764161.97,6904241,Maranhão
2016,1,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,1027157791.57,6904241,Maranhão
2016,1,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1264500178.21,6904241,Maranhão
2016,1,MA,ReceitasDeCapital,RECEITAS DE CAPITAL,91466344.43,6904241,Maranhão
2016,2,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4788059964.65,6904241,Maranhão
2016,2,MA,ReceitasCorrentes,RECEITAS CORRENTES,4575518293.72,6904241,Maranhão
2016,2,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,1982115961.35,6904241,Maranhão
2016,2,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2206357588.08,6904241,Maranhão
2016,2,MA,ReceitasDeCapital,RECEITAS DE CAPITAL,212541670.93,6904241,Maranhão
2016,3,MA,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),7710301099.04,6904241,Maranhão
2016,3,MA,ReceitasCorrentes,RECEITAS CORRENTES,7134333544.2,6904241,Maranhão
2016,3,MA,ReceitaTributaria,RECEITA TRIBUTÁRIA,3084135582.24,6904241,Maranhão
2016,3,MA,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3441774231.91,6904241,Maranhão
