exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,PB,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1499738052.97,3943885,Paraíba
2015,1,PB,ReceitasCorrentes,RECEITAS CORRENTES,1474081804.63,3943885,Paraíba
2015,1,PB,ReceitaTributaria,RECEITA TRIBUTÁRIA,588490879.41,3943885,Paraíba
2015,1,PB,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,799850598.84,3943885,Paraíba
2015,1,PB,ReceitasDeCapital,RECEITAS DE CAPITAL,25656248.34,3943885,Paraíba
2015,2,PB,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2906202764.51,3943885,Paraíba
2015,2,PB,ReceitasCorrentes,RECEITAS CORRENTES,2854095464.06,3943885,Paraíba
2015,2,PB,ReceitaTributaria,RECEITA TRIBUTÁRIA,1153776119.44,3943885,Paraíba
2015,2,PB,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1512966858.02,3943885,Paraíba
2015,2,PB,ReceitasDeCapital,RECEITAS DE CAPITAL,52107300.45,3943885,Paraíba
2015,3,PB,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4500403443.7,3943885,Paraíba
2015,3,PB,ReceitasCorrentes,RECEITAS CORRENTES,4294459949.79,3943885,Paraíba
2015,3,PB,ReceitaTributaria,RECEITA TRIBUTÁRIA,1726401524.7,3943885,Paraíba
2015,3,PB,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2260067156.92,3943885,Paraíba
2015,3,PB,ReceitasDeCapital,RECEITAS DE CAPITAL,205943493.91,3943885,Paraíba
2015,4,PB,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5864284396.64,3943885,Paraíba
2015,4,PB,ReceitasCorrentes,RECEITAS CORRENTES,5568211264.31,3943885,Paraíba
2015,4,PB,ReceitaTributaria,RECEITA TRIBUTÁRIA,2291356390.47,3943885,Paraíba
2015,4,PB,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2835803100.24,3943885,Paraíba
2015,4,PB,ReceitasDeCapital,RECEITAS DE CAPITAL,296073132.33,3943885,Paraíba
2015,5,PB,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),7278833987.92,3943885,Paraíba
2015,5,PB,ReceitasCorrentes,RECEITAS CORRENTES,6818162937.24,3943885,Paraíba
2015,5,PB,ReceitaTributaria,RECEITA TRIBUTÁRIA,2849554383.59,3943885,Paraíba
2015,5,PB,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3419478967.6,3943885,Paraíba
2015,5,PB,ReceitasDeCapital,RECEITAS DE CAPITAL,460671050.68,3943885,Paraíba
2015,6,PB,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),8820621386.63,3943885,Paraíba
2015,6,PB,ReceitasCorrentes,RECEITAS CORRENTES,8277309849.49,3943885,Paraíba
2015,6,PB,ReceitaTributaria,RECEITA TRIBUTÁRIA,3438349316.03,3943885,Paraíba
2015,6,PB,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,4131168953.21,3943885,Paraíba
2015,6,PB,ReceitasDeCapital,RECEITAS DE CAPITAL,543311537.14,3943885,Paraíba
