exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4386420693.82,9277727,Pernambuco
2015,1,PE,ReceitasCorrentes,RECEITAS CORRENTES,4295460513.94,9277727,Pernambuco
2015,1,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,2356130239.58,9277727,Pernambuco
2015,1,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1633166194.34,9277727,Pernambuco
2015,1,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,90960179.88,9277727,Pernambuco
2015,2,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),8608731686.2,9277727,Pernambuco
2015,2,PE,ReceitasCorrentes,RECEITAS CORRENTES,8478428399.62,9277727,Pernambuco
2015,2,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,4755940420.4,9277727,Pernambuco
2015,2,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3050682961.77,9277727,Pernambuco
2015,2,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,130303286.58,9277727,Pernambuco
2015,3,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),12513799337.36,9277727,Pernambuco
2015,3,PE,ReceitasCorrentes,RECEITAS CORRENTES,12314700014.76,9277727,Pernambuco
2015,3,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,6809683451.45,9277727,Pernambuco
2015,3,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,4503052542.03,9277727,Pernambuco
2015,3,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,199099322.6,9277727,Pernambuco
2015,4,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),16247754081.28,9277727,Pernambuco
2015,4,PE,ReceitasCorrentes,RECEITAS CORRENTES,15915940686.43,9277727,Pernambuco
2015,4,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,8863925086.94,9277727,Pernambuco
2015,4,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,5720879126.34,9277727,Pernambuco
2015,4,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,331813394.85,9277727,Pernambuco
2015,5,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),19910735039.88,9277727,Pernambuco
2015,5,PE,ReceitasCorrentes,RECEITAS CORRENTES,19514856584.48,9277727,Pernambuco
2015,5,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,10929790499.91,9277727,Pernambuco
2015,5,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,6902891329.3,9277727,Pernambuco
2015,5,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,395878455.4,9277727,Pernambuco
2015,6,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),24871841249.21,9277727,Pernambuco
2015,6,PE,ReceitasCorrentes,RECEITAS CORRENTES,24209676377.38,9277727,Pernambuco
2015,6,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,13022800979.35,9277727,Pernambuco
2015,6,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,8329281163.23,9277727,Pernambuco
2015,6,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,662164871.83,9277727,Pernambuco
2016,1,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4265540109.43,9345173,Pernambuco
2016,1,PE,ReceitasCorrentes,RECEITAS CORRENTES,4230252919.62,9345173,Pernambuco
2016,1,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,2316180972.04,9345173,Pernambuco
2016,1,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1550758436.88,9345173,Pernambuco
2016,1,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,35287189.81,9345173,Pernambuco
2016,2,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),8691807878.44,9345173,Pernambuco
2016,2,PE,ReceitasCorrentes,RECEITAS CORRENTES,8572156359.2,9345173,Pernambuco
2016,2,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,4966813322.96,9345173,Pernambuco
2016,2,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2868725825.51,9345173,Pernambuco
2016,2,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,119651519.24,9345173,Pernambuco
2016,3,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),12936872104.4,9345173,Pernambuco
2016,3,PE,ReceitasCorrentes,RECEITAS CORRENTES,12779402636.3,9345173,Pernambuco
2016,3,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,7228001792.91,9345173,Pernambuco
2016,3,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,4425936052.2,9345173,Pernambuco
2016,3,PE,ReceitasDeCapital,RECEITAS DE CAPITAL,157469468.1,9345173,Pernambuco
2016,4,PE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),16916005304.37,9345173,Pernambuco
2016,4,PE,ReceitasCorrentes,RECEITAS CORRENTES,16642046111.26,9345173,Pernambuco
2016,4,PE,ReceitaTributaria,RECEITA TRIBUTÁRIA,9435383802.2,9345173,Pernambuco
2016,4,PE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,5672709058.9,9345173,Pernambuco
