exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,PI,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1179640780.02,3194718,Piauí
2015,1,PI,ReceitasCorrentes,RECEITAS CORRENTES,1175407187.58,3194718,Piauí
2015,1,PI,ReceitaTributaria,RECEITA TRIBUTÁRIA,387072102.18,3194718,Piauí
2015,1,PI,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,733676803.47,3194718,Piauí
2015,1,PI,ReceitasDeCapital,RECEITAS DE CAPITAL,4233592.44,3194718,Piauí
2015,2,PI,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2349155265.0,3194718,Piauí
2015,2,PI,ReceitasCorrentes,RECEITAS CORRENTES,2338384844.58,3194718,Piauí
2015,2,PI,ReceitaTributaria,RECEITA TRIBUTÁRIA,774999929.06,3194718,Piauí
2015,2,PI,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1370606024.7,3194718,Piauí
2015,2,PI,ReceitasDeCapital,RECEITAS DE CAPITAL,10770420.42,3194718,Piauí
2015,3,PI,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),3536205169.06,3194718,Piauí
2015,3,PI,ReceitasCorrentes,RECEITAS CORRENTES,3512336598.17,3194718,Piauí
2015,3,PI,ReceitaTributaria,RECEITA TRIBUTÁRIA,1179738650.64,3194718,Piauí
2015,3,PI,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2031786333.64,3194718,Piauí
2015,3,PI,ReceitasDeCapital,RECEITAS DE CAPITAL,23868570.89,3194718,Piauí
2015,4,PI,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4542935005.36,3194718,Piauí
2015,4,PI,ReceitasCorrentes,RECEITAS CORRENTES,4517935604.06,3194718,Piauí
2015,4,PI,ReceitaTributaria,RECEITA TRIBUTÁRIA,1581497607.86,3194718,Piauí
2015,4,PI,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2550351545.95,3194718,Piauí
2015,4,PI,ReceitasDeCapital,RECEITAS DE CAPITAL,24999401.3,3194718,Piauí
2015,5,PI,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5764392656.19,3194718,Piauí
2015,5,PI,ReceitasCorrentes,RECEITAS CORRENTES,5649646690.56,3194718,Piauí
2015,5,PI,ReceitaTributaria,RECEITA TRIBUTÁRIA,2042066493.35,3194718,Piauí
2015,5,PI,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3059171336.24,3194718,Piauí
2015,5,PI,ReceitasDeCapital,RECEITAS DE CAPITAL,114745965.63,3194718,Piauí
2015,6,PI,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),7358886032.73,3194718,Piauí
2015,6,PI,ReceitasCorrentes,RECEITAS CORRENTES,6888358507.9,3194718,Piauí
2015,6,PI,ReceitaTributaria,RECEITA TRIBUTÁRIA,2489384453.07,3194718,Piauí
2015,6,PI,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3699604561.66,3194718,Piauí
2015,6,PI,ReceitasDeCapital,RECEITAS DE CAPITAL,470527524.83,3194718,Piauí
2016,1,PI,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1305994754.16,3204028,Piauí
