exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1575364422.84,3408510,Rio Grande do Norte
2015,1,RN,ReceitasCorrentes,RECEITAS CORRENTES,1572544502.38,3408510,Rio Grande do Norte
2015,1,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,754902470.07,3408510,Rio Grande do Norte
2015,1,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,696878894.32,3408510,Rio Grande do Norte
2015,1,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,2819920.46,3408510,Rio Grande do Norte
2015,2,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),3115580531.02,3408510,Rio Grande do Norte
2015,2,RN,ReceitasCorrentes,RECEITAS CORRENTES,3110268821.55,3408510,Rio Grande do Norte
2015,2,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,1577389953.57,3408510,Rio Grande do Norte
2015,2,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1294226659.21,3408510,Rio Grande do Norte
2015,2,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,5311709.47,3408510,Rio Grande do Norte
2015,3,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4903112216.6,3408510,Rio Grande do Norte
2015,3,RN,ReceitasCorrentes,RECEITAS CORRENTES,4875800507.13,3408510,Rio Grande do Norte
2015,3,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,2411707659.0,3408510,Rio Grande do Norte
2015,3,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2056870867.27,3408510,Rio Grande do Norte
2015,3,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,27311709.47,3408510,Rio Grande do Norte
2015,4,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),6508179682.5,3408510,Rio Grande do Norte
2015,4,RN,ReceitasCorrentes,RECEITAS CORRENTES,6477126244.37,3408510,Rio Grande do Norte
2015,4,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,3246171106.26,3408510,Rio Grande do Norte
2015,4,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2652716486.03,3408510,Rio Grande do Norte
2015,4,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,31053438.13,3408510,Rio Grande do Norte
2015,5,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),7977252895.51,3408510,Rio Grande do Norte
2015,5,RN,ReceitasCorrentes,RECEITAS CORRENTES,7935153963.76,3408510,Rio Grande do Norte
2015,5,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,4014687052.09,3408510,Rio Grande do Norte
2015,5,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3225276964.63,3408510,Rio Grande do Norte
2015,5,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,42098931.75,3408510,Rio Grande do Norte
2015,6,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),9720668399.08,3408510,Rio Grande do Norte
2015,6,RN,ReceitasCorrentes,RECEITAS CORRENTES,9667816545.84,3408510,Rio Grande do Norte
2015,6,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,4883321750.41,3408510,Rio Grande do Norte
2015,6,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3898415973.68,3408510,Rio Grande do Norte
2015,6,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,52851853.24,3408510,Rio Grande do Norte
2015,6,RN,DespesasExcetoIntraOrcamentarias,DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII),10367180547.53,3408510,Rio Grande do Norte
2015,6,RN,DespesasExcetoIntraOrcamentarias,DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII),9785419993.57,3408510,Rio Grande do Norte
2015,6,RN,DespesasCorrentes,DESPESAS CORRENTES,9296653507.8,3408510,Rio Grande do Norte
2015,6,RN,DespesasCorrentes,DESPESAS CORRENTES,9032368687.0,3408510,Rio Grande do Norte
2015,6,RN,OutrasDespesasCorrentes,OUTRAS DESPESAS CORRENTES,2921932003.63,3408510,Rio Grande do Norte
2015,6,RN,OutrasDespesasCorrentes,OUTRAS DESPESAS CORRENTES,2753334512.03,3408510,Rio Grande do Norte
2015,6,RN,DespesasDeCapital,DESPESAS DE CAPITAL,1070527039.73,3408510,Rio Grande do Norte
2015,6,RN,DespesasDeCapital,DESPESAS DE CAPITAL,753051306.57,3408510,Rio Grande do Norte
2015,6,RN,Investimentos,INVESTIMENTOS,590906611.7,3408510,Rio Grande do Norte
2015,6,RN,Investimentos,INVESTIMENTOS,314464700.05,3408510,Rio Grande do Norte
2016,1,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1954867332.62,3442175,Rio Grande do Norte
2016,1,RN,ReceitasCorrentes,RECEITAS CORRENTES,1921914748.54,3442175,Rio Grande do Norte
2016,1,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,944912843.23,3442175,Rio Grande do Norte
2016,1,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,869628626.89,3442175,Rio Grande do Norte
2016,1,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,32952584.08,3442175,Rio Grande do Norte
2016,2,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2994121125.49,3442175,Rio Grande do Norte
2016,2,RN,ReceitasCorrentes,RECEITAS CORRENTES,2795234971.23,3442175,Rio Grande do Norte
2016,2,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,1324781755.92,3442175,Rio Grande do Norte
2016,2,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1237565406.43,3442175,Rio Grande do Norte
2016,2,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,198886154.26,3442175,Rio Grande do Norte
2016,3,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4496307236.86,3442175,Rio Grande do Norte
2016,3,RN,ReceitasCorrentes,RECEITAS CORRENTES,4273163757.51,3442175,Rio Grande do Norte
2016,3,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,1944251967.64,3442175,Rio Grande do Norte
2016,3,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1970592019.61,3442175,Rio Grande do Norte
2016,3,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,223143479.35,3442175,Rio Grande do Norte
2016,4,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5860838963.85,3442175,Rio Grande do Norte
2016,4,RN,ReceitasCorrentes,RECEITAS CORRENTES,5618718227.67,3442175,Rio Grande do Norte
2016,4,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,2597581572.85,3442175,Rio Grande do Norte
2016,4,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2538135746.97,3442175,Rio Grande do Norte
2016,4,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,242120736.18,3442175,Rio Grande do Norte
2016,5,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),7233396435.15,3442175,Rio Grande do Norte
2016,5,RN,ReceitasCorrentes,RECEITAS CORRENTES,6947673898.59,3442175,Rio Grande do Norte
2016,5,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,3208526652.08,3442175,Rio Grande do Norte
2016,5,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3098152691.21,3442175,Rio Grande do Norte
2016,5,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,285722536.56,3442175,Rio Grande do Norte
2016,6,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),9315044646.57,3442175,Rio Grande do Norte
2016,6,RN,ReceitasCorrentes,RECEITAS CORRENTES,8992890472.33,3442175,Rio Grande do Norte
2016,6,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,3915342358.07,3442175,Rio Grande do Norte
2016,6,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,4275121465.17,3442175,Rio Grande do Norte
2016,6,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,322154174.24,3442175,Rio Grande do Norte
2017,1,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1533448294.95,3474998,Rio Grande do Norte
2017,1,RN,ReceitasCorrentes,RECEITAS CORRENTES,1529562907.58,3474998,Rio Grande do Norte
2017,1,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,631746916.79,3474998,Rio Grande do Norte
2017,1,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,798736727.87,3474998,Rio Grande do Norte
2017,1,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,3885387.37,3474998,Rio Grande do Norte
2017,2,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),3002810645.42,3474998,Rio Grande do Norte
2017,2,RN,ReceitasCorrentes,RECEITAS CORRENTES,2967421647.67,3474998,Rio Grande do Norte
2017,2,RN,ReceitaTributaria,RECEITA TRIBUTÁRIA,1290146453.18,3474998,Rio Grande do Norte
2017,2,RN,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1467450517.98,3474998,Rio Grande do Norte
2017,2,RN,ReceitasDeCapital,RECEITAS DE CAPITAL,35388997.75,3474998,Rio Grande do Norte
2017,3,RN,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4631000131.16,3474998,Rio Grande do Norte
2017,3,RN,ReceitasCorrentes,RECEITAS CORRENTES,4585577670.74,3474998,Rio Grande do Norte
