exercicio,periodo,uf,cod_conta,conta,valor,populacao,uf_nome
2015,1,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1126393425.23,2219574,Sergipe
2015,1,SE,ReceitasCorrentes,RECEITAS CORRENTES,1125009137.55,2219574,Sergipe
2015,1,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,338206725.73,2219574,Sergipe
2015,1,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,713944080.96,2219574,Sergipe
2015,1,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,1384287.68,2219574,Sergipe
2015,2,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2226325424.59,2219574,Sergipe
2015,2,SE,ReceitasCorrentes,RECEITAS CORRENTES,2219825758.13,2219574,Sergipe
2015,2,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,701032259.99,2219574,Sergipe
2015,2,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1251931446.34,2219574,Sergipe
2015,2,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,6499666.46,2219574,Sergipe
2015,3,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),3419686344.37,2219574,Sergipe
2015,3,SE,ReceitasCorrentes,RECEITAS CORRENTES,3349710669.08,2219574,Sergipe
2015,3,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1095331639.96,2219574,Sergipe
2015,3,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1896020522.52,2219574,Sergipe
2015,3,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,69975675.29,2219574,Sergipe
2015,4,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4497008029.5,2219574,Sergipe
2015,4,SE,ReceitasCorrentes,RECEITAS CORRENTES,4321603351.33,2219574,Sergipe
2015,4,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1464214367.01,2219574,Sergipe
2015,4,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2362321525.14,2219574,Sergipe
2015,4,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,175404678.17,2219574,Sergipe
2015,5,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5534516047.03,2219574,Sergipe
2015,5,SE,ReceitasCorrentes,RECEITAS CORRENTES,5298580096.96,2219574,Sergipe
2015,5,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1832930712.6,2219574,Sergipe
2015,5,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2844300753.16,2219574,Sergipe
2015,5,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,235935950.07,2219574,Sergipe
2015,6,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),6734331063.19,2219574,Sergipe
2015,6,SE,ReceitasCorrentes,RECEITAS CORRENTES,6573959850.29,2219574,Sergipe
2015,6,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,2215437646.8,2219574,Sergipe
2015,6,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3437805103.09,2219574,Sergipe
2015,6,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,160371212.9,2219574,Sergipe
2016,1,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1173884365.96,2242937,Sergipe
2016,1,SE,ReceitasCorrentes,RECEITAS CORRENTES,1169157083.33,2242937,Sergipe
2016,1,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,355911845.35,2242937,Sergipe
2016,1,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,662097401.77,2242937,Sergipe
2016,1,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,4727282.63,2242937,Sergipe
2016,2,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2247184365.07,2242937,Sergipe
2016,2,SE,ReceitasCorrentes,RECEITAS CORRENTES,2220686661.5,2242937,Sergipe
2016,2,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,736559221.48,2242937,Sergipe
2016,2,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1184165483.18,2242937,Sergipe
2016,2,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,26497703.57,2242937,Sergipe
2016,3,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),3466329867.64,2242937,Sergipe
2016,3,SE,ReceitasCorrentes,RECEITAS CORRENTES,3418865894.81,2242937,Sergipe
2016,3,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1139044117.77,2242937,Sergipe
2016,3,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1848869999.85,2242937,Sergipe
2016,3,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,47463972.83,2242937,Sergipe
2016,4,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4491480775.84,2242937,Sergipe
2016,4,SE,ReceitasCorrentes,RECEITAS CORRENTES,4412560938.55,2242937,Sergipe
2016,4,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1494615177.37,2242937,Sergipe
2016,4,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2353395823.63,2242937,Sergipe
2016,4,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,78919837.29,2242937,Sergipe
2016,5,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),5541916400.74,2242937,Sergipe
2016,5,SE,ReceitasCorrentes,RECEITAS CORRENTES,5436369233.21,2242937,Sergipe
2016,5,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1901129371.17,2242937,Sergipe
2016,5,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2847835291.87,2242937,Sergipe
2016,5,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,105547167.53,2242937,Sergipe
2016,6,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),7234340899.12,2242937,Sergipe
2016,6,SE,ReceitasCorrentes,RECEITAS CORRENTES,7075565729.93,2242937,Sergipe
2016,6,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,2334743051.59,2242937,Sergipe
2016,6,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3839769100.42,2242937,Sergipe
2016,6,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,158775169.19,2242937,Sergipe
2017,1,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1316073724.99,2265779,Sergipe
2017,1,SE,ReceitasCorrentes,RECEITAS CORRENTES,1288188835.0,2265779,Sergipe
2017,1,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,424001992.65,2265779,Sergipe
2017,1,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,713786218.99,2265779,Sergipe
2017,1,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,27884889.99,2265779,Sergipe
2017,2,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2537562931.07,2265779,Sergipe
2017,2,SE,ReceitasCorrentes,RECEITAS CORRENTES,2467099965.47,2265779,Sergipe
2017,2,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,819618943.01,2265779,Sergipe
2017,2,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1319525867.81,2265779,Sergipe
2017,2,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,70462965.6,2265779,Sergipe
2017,3,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),3835525633.59,2265779,Sergipe
2017,3,SE,ReceitasCorrentes,RECEITAS CORRENTES,3679834720.24,2265779,Sergipe
2017,3,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1207445251.32,2265779,Sergipe
2017,3,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1999197759.43,2265779,Sergipe
2017,3,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,155690913.35,2265779,Sergipe
2017,4,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),4940431891.04,2265779,Sergipe
2017,4,SE,ReceitasCorrentes,RECEITAS CORRENTES,4762799394.41,2265779,Sergipe
2017,4,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,1589810478.9,2265779,Sergipe
2017,4,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2547837753.26,2265779,Sergipe
2017,4,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,177632496.63,2265779,Sergipe
2017,5,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),6075975647.31,2265779,Sergipe
2017,5,SE,ReceitasCorrentes,RECEITAS CORRENTES,5866611295.41,2265779,Sergipe
2017,5,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,2021418540.28,2265779,Sergipe
2017,5,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3080078607.45,2265779,Sergipe
2017,5,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,209364351.9,2265779,Sergipe
2017,6,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),7380307610.17,2265779,Sergipe
2017,6,SE,ReceitasCorrentes,RECEITAS CORRENTES,7139307136.32,2265779,Sergipe
2017,6,SE,ReceitaTributaria,RECEITA TRIBUTÁRIA,2457207184.56,2265779,Sergipe
2017,6,SE,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3749836493.81,2265779,Sergipe
2017,6,SE,ReceitasDeCapital,RECEITAS DE CAPITAL,241000473.85,2265779,Sergipe
2018,1,SE,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),1405649740.32,2265779,Sergipe
2018,1,SE,ReceitasCorrentes,RECEITAS CORRENTES,1357425128.26,2265779,Sergipe
