exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,705443244.98,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,696267203.57,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,227345.52,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,8948695.89,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,78185899.51,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDePessoas,Transferências de Pessoas,25304.33,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,78160595.18,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntra,TRANSFERÊNCIAS CORRENTES,200000.0,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConveniosIntra,Transferências de Convênios,200000.0,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,705643244.98,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,752276545.34,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,522602796.04,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,525719924.93,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,173891753.05,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,208156753.51,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,78185899.51,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,71110579.86,Alagoas
2015,RREO,1,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,25304.33,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1310606421.44,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,1295310702.1,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,410188.22,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,14885531.12,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,156177522.33,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,150000.0,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDePessoas,Transferências de Pessoas,25304.33,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,156002218.0,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntra,TRANSFERÊNCIAS CORRENTES,400000.0,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConveniosIntra,Transferências de Convênios,400000.0,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,1311006421.44,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,1253041075.49,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,922402251.83,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,870568037.07,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,373318638.49,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,354584395.01,Alagoas
2015,RREO,2,B,Governo do Estado de Alagoas,27,AL,3321730,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,156177522.33,Alagoas
