exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2111456685.82,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,2101067730.75,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,8577.78,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,10380377.29,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,68453580.94,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,68453580.94,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,2414324275.59,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,2474119672.51,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,1475469457.41,Bahia
2015,RREO,1,B,Governo do Estado da Bahia,29,BA,15126371,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,1484270077.06,Bahia
