exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1313975594.05,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,1307912685.36,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,539752.02,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDePessoas,Transferências de Pessoas,10300.0,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,5512856.67,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,22733902.29,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,662629.1,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,22071273.19,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,1313975594.05,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,1315207520.25,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,921680838.01,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,927178317.1,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,386911899.37,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,388029203.15,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,22733902.29,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,11989537.81,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,662629.1,Ceará
2015,RREO,1,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,11989537.81,Ceará
2015,RREO,2,B,Governo do Estado do Ceará,23,CE,8842791,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2449622906.85,Ceará
