exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1241628768.59,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,1241628768.59,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,1241628768.59,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,1349868086.59,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,906769429.13,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,912177967.29,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,334859339.46,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,437690119.3,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,80628106.44,Maranhão
2015,RREO,1,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,80628106.44,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2362617360.93,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,2352276080.91,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,10341280.02,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,2362617360.93,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,2205956030.23,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,1600462472.92,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,1510524796.12,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,762154888.01,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,695431234.11,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,86025554.02,Maranhão
2015,RREO,2,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,86025554.02,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3453833198.85,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,3443537869.06,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,10295329.79,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,20050798.88,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,18807035.1,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeInstituicoesPrivadas,Transferências de Instituições Privadas,1243763.78,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,3453833198.85,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,3337534453.99,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,2428513967.8,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,2254246121.09,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,1025319231.05,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,1083288332.9,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,20050798.88,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,94783766.73,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,20050798.88,Maranhão
2015,RREO,3,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,94783766.73,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,4327507707.58,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,4317064231.47,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,10443476.11,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,38013861.97,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,36434319.52,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeInstituicoesPrivadas,Transferências de Instituições Privadas,1579542.45,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,4327507707.58,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,4220722460.23,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,3047445171.62,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,2860537858.98,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,1280062535.96,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,1360184601.25,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,38013861.97,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,116666224.92,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,38013861.97,Maranhão
2015,RREO,4,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,116666224.92,Maranhão
2015,RREO,5,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,5190845499.96,Maranhão
2015,RREO,5,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,5180000878.58,Maranhão
2015,RREO,5,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,10844621.38,Maranhão
2015,RREO,5,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,42343240.92,Maranhão
2015,RREO,5,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,40635991.07,Maranhão
2015,RREO,5,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeInstituicoesPrivadas,Transferências de Instituições Privadas,1707249.85,Maranhão
2015,RREO,5,B,Governo do Estado do Maranhão,21,MA,6850884,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,5190845499.96,Maranhão
