exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,799850598.84,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,797489364.36,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,2361234.48,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,23875818.27,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,241419.13,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,23634399.14,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,799850598.84,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,871711223.59,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,601594319.86,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,756478254.19,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,195895044.5,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,80448426.46,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,23875818.27,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,8815366.0,Paraíba
2015,RREO,1,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,241419.13,Paraíba
