exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1633166194.34,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,1567073490.52,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,55877000.0,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,10215703.82,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,60728225.61,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeInstituicoesPrivadas,Transferências de Instituições Privadas,3191.36,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDePessoas,Transferências de Pessoas,7400.0,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,60717634.25,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,1633166194.34,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,1628406887.83,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,866821425.72,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,871991689.09,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,756129064.8,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,703689949.38,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,60728225.61,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,80400786.19,Pernambuco
2015,RREO,1,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,2312.65,Pernambuco
2015,RREO,2,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,3050682961.77,Pernambuco
2015,RREO,2,B,Governo do Estado de Pernambuco,26,PE,9277727,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,2940674775.83,Pernambuco
