exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,733676803.47,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,713310456.81,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,20366346.66,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,2122882.29,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,2122882.29,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,733676803.47,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,766939012.99,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,542865729.86,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,546103719.53,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,170444726.95,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,179980813.52,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,2122882.29,Piauí
2015,RREO,1,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,4638599.69,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1370606024.7,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,1328563977.99,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeInstituicoesPrivadas,Transferências de Instituições Privadas,2588637.07,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,39453409.64,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,6783697.38,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,6783697.38,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,1369456094.92,Piauí
2015,RREO,2,B,Governo do Estado do Piauí,22,PI,3194718,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,1290977087.54,Piauí
