exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,696878894.32,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,695420261.78,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,1458632.54,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,2819920.46,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,2819920.46,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,696878894.32,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,756980704.51,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,435452490.86,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,473573651.25,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,259967770.92,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,267511056.02,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,2819920.46,Rio Grande do Norte
2015,RREO,1,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,13261513.38,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1294226659.21,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,1277712488.59,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,16514170.62,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,3482492.47,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,3482492.47,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,1294226659.21,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,1447732172.73,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,796919667.3,Rio Grande do Norte
2015,RREO,2,B,Governo do Estado do Rio Grande do Norte,24,RN,3408510,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,905436549.34,Rio Grande do Norte
