exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,713944080.96,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,708446137.33,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,5497943.63,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,713944080.96,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,657325650.28,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,521999807.33,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,452250231.25,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,186446330.0,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,193301371.86,Sergipe
2015,RREO,1,B,Governo do Estado de Sergipe,28,SE,2219574,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,9911518.1,Sergipe
