cod_ibge,regiao_codigo,regiao_nome,ano,mes,fpm_dest,fundeb_dest,itr_dest,outros_dest,royalties_dest,total
2300101,1,Cariri,2015,1,783568.79,609584.12,58.73,39.64,10214.68,1403465.96
2300150,7,Maciço do Baturité,2015,1,979460.99,879117.32,0.0,52.04,15817.09,1874447.44
2300200,5,Litoral Norte,2015,1,2154814.11,3415047.83,214.36,143.39,30868.13,5601087.819999999
2300309,2,Centro Sul,2015,1,2154814.11,2909441.58,290.54999999999995,134.72,28337.65,5093018.609999999
2300408,13,Sertão dos Inhamuns,2015,1,979460.99,1016910.39,184.71,52.94,12768.34,2009377.37
2300507,11,Sertão de Sobral,2015,1,783568.79,815820.3499999999,43.08,39.73,11982.35,1611454.3
2300606,1,Cariri,2015,1,587676.62,566601.85,11.29,28.43,7661.01,1161979.2
2300705,14,Vale do Jaguaribe,2015,1,979460.99,966791.82,66.83,52.92,12768.34,1959140.9
2300754,6,Litoral Oeste / Vale do Curu,2015,1,1763029.7599999998,2695556.58,156.61999999999998,108.07,94842.39,4553693.42
2300804,1,Cariri,2015,1,587676.62,528042.8,28.38,28.4,7661.01,1123437.2099999995
2300903,6,Litoral Oeste / Vale do Curu,2015,1,979460.99,907431.84,58.42,50.17,14620.19,1901621.61
2301000,3,Grande Fortaleza,2015,1,2546598.5,4073212.58,4085.75,175.4,403736.04,7027808.2700000005
2301109,4,Litoral Leste,2015,1,2546598.5,3484206.35,1684.65,170.25,444754.93,6477414.68
2301208,7,Maciço do Baturité,2015,1,1371245.36,1748428.13,18.55,77.0,17875.68,3137644.7199999997
2301257,12,Sertão dos Crateús,2015,1,783568.79,777517.6699999999,0.0,39.21,11982.35,1573108.02
2301307,1,Cariri,2015,1,1175353.15,1691568.79,677.6899999999999,64.72,15322.01,2882986.36
2301406,7,Maciço do Baturité,2015,1,783568.79,937982.84,0.0,40.09,10214.68,1731806.4
2301505,13,Sertão dos Inhamuns,2015,1,587676.62,590189.64,15.46,29.09,7661.01,1185571.82
2301604,1,Cariri,2015,1,1175353.15,1287913.68,1393.64,66.83,15322.01,2480049.31
2301703,1,Cariri,2015,1,1371245.36,1378643.63,295.94,75.52,17875.68,2768136.13
2301802,2,Centro Sul,2015,1,587676.62,400205.26,5.6,27.23,7661.01,995575.72
2301851,9,Sertão Central,2015,1,1175353.15,1237925.6800000002,206.83999999999995,60.78,15368.59,2428915.0399999996
2301901,1,Cariri,2015,1,2154814.11,2893531.58,538.5899999999999,140.7,33839.51,5082864.489999999
2301950,7,Maciço do Baturité,2015,1,1175353.15,1393181.96,0.0,63.79,15322.01,2583920.9099999997
2302008,1,Cariri,2015,1,1175353.15,1184713.97,11.93,65.8,15322.01,2375466.86
2302057,5,Litoral Norte,2015,1,979460.99,1123247.44,80.31,50.6,14704.36,2117543.6999999997
2302107,7,Maciço do Baturité,2015,1,1567137.5299999998,1666168.29,97.55,93.58,20429.35,3253926.3
2302206,4,Litoral Leste,2015,1,2154814.11,3195048.99,6726.06,133.3,28090.36,5384812.819999999
2302305,5,Litoral Norte,2015,1,1567137.5299999998,1708833.34,39.59,90.44,22786.25,3298887.149999999
2302404,10,Sertão de Canindé,2015,1,2154814.11,3148679.52,108.4,135.82,28299.64,5332037.49
2302503,1,Cariri,2015,1,1958921.92,3128116.98,199.24,121.71,26279.289999999997,5113639.140000001
2302602,5,Litoral Norte,2015,1,2350706.3,3602634.25,0.0,152.15,33421.799999999996,5986914.5
2302701,1,Cariri,2015,1,1371245.36,1578731.12,86.4,78.21,20148.52,2970289.6099999994
2302800,10,Sertão de Canindé,2015,1,2546598.5,4149833.92,582.85,175.69,38028.33,6735219.29
2302909,7,Maciço do Baturité,2015,1,1175353.15,1316035.0,4.91,60.42,15322.01,2506775.49
2303006,10,Sertão de Canindé,2015,1,1175353.15,1268085.17,57.52,64.79,17972.809999999998,2461533.44
2303105,11,Sertão de Sobral,2015,1,1175353.15,1136419.73,50.32,61.77,17426.38,2329311.3499999996
2303204,1,Cariri,2015,1,1371245.36,1714187.67,154.87,77.97,17875.68,3103541.5500000003
2303303,2,Centro Sul,2015,1,1175353.15,960301.81,123.9,61.98,15322.01,2151162.8499999996
2303402,8,Serra da Ibiapaba,2015,1,1175353.15,1137471.68,6.44,60.21,17342.21,2330233.69
2303501,3,Grande Fortaleza,2015,1,2350706.3,3772952.14,1656.52,160.28,31671.03,6157146.27
2303600,2,Centro Sul,2015,1,1175353.15,856656.28,10.73,62.98,15322.01,2047405.15
2303659,12,Sertão dos Crateús,2015,1,783568.79,880554.5700000001,44.85,38.62,11898.18,1676105.0100000002
2303709,3,Grande Fortaleza,2015,1,6386371.82,15289858.65,1641.69,625.74,475224.04,22153721.94
2303808,2,Centro Sul,2015,1,1371245.36,1306231.48,29.32,75.8,17875.68,2695457.6399999997
2303907,5,Litoral Norte,2015,1,783568.79,882329.73,10.0,41.7,12066.53,1678016.75
2303931,9,Sertão Central,2015,1,783568.79,931492.82,5.2,42.08,10214.68,1725323.57
2303956,3,Grande Fortaleza,2015,1,1175353.15,1389259.71,191.37,62.42,19819.23,2584685.88
2304004,11,Sertão de Sobral,2015,1,1175353.15,1537515.2999999998,53.35,66.44,17510.56,2730498.8
2304103,12,Sertão dos Crateús,2015,1,2546598.5,3559462.3099999996,238.52,172.98,36143.82,6142616.13
2304202,1,Cariri,2015,1,3330167.25,5030584.13,662.02,260.65,59417.62,8421091.67
2304236,8,Serra da Ibiapaba,2015,1,1175353.15,1261265.8,10.62,60.54,17342.21,2454032.3200000003
2304251,5,Litoral Norte,2015,1,1175353.15,1616565.6,38.03,67.24,18396.75,2810420.77
2304269,9,Sertão Central,2015,1,587676.62,551309.52,0.0,30.94,7661.01,1146678.09
2304277,14,Vale do Jaguaribe,2015,1,587676.62,521171.85,43.08,28.25,7661.01,1116580.81
2304285,3,Grande Fortaleza,2015,1,1958921.92,3492556.29,0.0,124.3,25536.69,5477139.2
2304301,1,Cariri,2015,1,1175353.15,1208449.35,12.33,62.22,15322.01,2399199.06
