cod_ibge,ano,bimestre,motivo,detalhe
2300101,2017,6,suspeito_relato_corrente,valor_b6=1212020 < b5=1282921
2301604,2017,2,suspeito_relato_corrente,valor_b2=63522 < b1=86921
2302503,2022,5,suspeito_relato_corrente,valor_b5=22213165 < b4=28386625
2302701,2018,5,suspeito_relato_corrente,valor_b5=5664802 < b4=8085197
2302701,2018,6,suspeito_relato_corrente,valor_b6=5301300 < b5=5664802
2302701,2019,5,suspeito_relato_corrente,valor_b5=3210913 < b4=4350501
2303204,2015,6,suspeito_relato_corrente,valor_b6=5364489 < b5=6296986
2303204,2017,6,suspeito_relato_corrente,valor_b6=311584 < b5=749887
2304202,2015,6,suspeito_relato_corrente,valor_b6=10608506 < b5=32088988
2304202,2019,6,suspeito_relato_corrente,valor_b6=25765030 < b5=29466161
2304301,2020,6,suspeito_relato_corrente,valor_b6=6230205 < b5=6731463
2307106,2016,5,suspeito_relato_corrente,valor_b5=2237464 < b4=3089919
2308401,2017,3,suspeito_relato_corrente,valor_b3=1236748 < b2=1388309
2308401,2018,4,suspeito_relato_corrente,valor_b4=8329670 < b3=9263218
2308401,2018,5,suspeito_relato_corrente,valor_b5=6240118 < b4=8329670
2308401,2021,6,suspeito_relato_corrente,valor_b6=2406209 < b5=4931839
2309201,2020,6,suspeito_relato_corrente,valor_b6=2253898 < b5=2571374
2310605,2024,5,suspeito_relato_corrente,valor_b5=2370173 < b4=3207876
2311207,2022,6,suspeito_relato_corrente,valor_b6=1678463 < b5=1887977
2311959,2016,6,suspeito_relato_corrente,valor_b6=2682284 < b5=2921069
2312106,2017,6,suspeito_relato_corrente,valor_b6=1445979 < b5=1565926
2313252,2022,6,suspeito_relato_corrente,valor_b6=1904444 < b5=2027523
2313252,2024,6,suspeito_relato_corrente,valor_b6=1247427 < b5=1329937
2300309,2022,6,suspeito_relato_corrente,valor_b6=5844673 < b5=6456457
2301802,2016,4,suspeito_relato_corrente,valor_b4=401085 < b3=483418
2303600,2015,6,suspeito_relato_corrente,valor_b6=2075429 < b5=3097347
2305407,2025,6,suspeito_relato_corrente,valor_b6=27325267 < b5=32897195
2305506,2017,5,suspeito_relato_corrente,valor_b5=12199912 < b4=14442638
2305506,2017,6,suspeito_relato_corrente,valor_b6=8943525 < b5=12199912
2311355,2016,6,suspeito_relato_corrente,valor_b6=3167728 < b5=3496476
2313708,2021,4,suspeito_relato_corrente,valor_b4=289620 < b3=340258
2303501,2015,6,suspeito_relato_corrente,valor_b6=3730988 < b5=7606120
2303501,2016,5,suspeito_relato_corrente,valor_b5=4087723 < b4=5675811
2303501,2017,6,suspeito_relato_corrente,valor_b6=4542656 < b5=6790491
2303501,2018,6,suspeito_relato_corrente,valor_b6=3488060 < b5=4529857
2303501,2025,6,suspeito_relato_corrente,valor_b6=13755924 < b5=24623206
2303709,2018,6,suspeito_relato_corrente,valor_b6=23247858 < b5=25069774
2303709,2025,6,suspeito_relato_corrente,valor_b6=88197366 < b5=94505832
2304285,2016,6,suspeito_relato_corrente,valor_b6=11373703 < b5=12046435
2304285,2018,6,suspeito_relato_corrente,valor_b6=4110493 < b5=5309518
2304285,2020,6,suspeito_relato_corrente,valor_b6=15220505 < b5=17581652
2304285,2022,6,suspeito_relato_corrente,valor_b6=65304757 < b5=78007797
2304285,2024,6,suspeito_relato_corrente,valor_b6=21023242 < b5=23539312
2305233,2024,6,suspeito_relato_corrente,valor_b6=61837962 < b5=77766779
2307650,2015,6,suspeito_relato_corrente,valor_b6=33145949 < b5=38215395
2307650,2016,5,suspeito_relato_corrente,valor_b5=33074802 < b4=37609664
2307650,2017,6,suspeito_relato_corrente,valor_b6=32175959 < b5=43150122
2307650,2018,6,suspeito_relato_corrente,valor_b6=46961046 < b5=56620264
2307650,2019,6,suspeito_relato_corrente,valor_b6=35136810 < b5=38026971
2307650,2020,6,suspeito_relato_corrente,valor_b6=40909305 < b5=45506458
2307700,2015,5,suspeito_relato_corrente,valor_b5=11340258 < b4=12810221
2307700,2015,6,suspeito_relato_corrente,valor_b6=9765814 < b5=11340258
2307700,2016,6,suspeito_relato_corrente,valor_b6=7751505 < b5=10404378
2307700,2018,6,suspeito_relato_corrente,valor_b6=7039404 < b5=9362362
2307700,2020,6,suspeito_relato_corrente,valor_b6=17170716 < b5=20754591
2307700,2024,6,suspeito_relato_corrente,valor_b6=25571942 < b5=27590948
2309607,2022,6,suspeito_relato_corrente,valor_b6=22920928 < b5=28492759
2309607,2023,6,suspeito_relato_corrente,valor_b6=43878994 < b5=52479909
2309706,2018,6,suspeito_relato_corrente,valor_b6=10577857 < b5=11780487
2310209,2023,6,suspeito_relato_corrente,valor_b6=7512642 < b5=8016963
2310209,2024,5,suspeito_relato_corrente,valor_b5=12666582 < b4=14006734
2312403,2020,6,suspeito_relato_corrente,valor_b6=48727522 < b5=52803469
2312403,2022,5,suspeito_relato_corrente,valor_b5=26832819 < b4=28421911
2312403,2022,6,suspeito_relato_corrente,valor_b6=23792554 < b5=26832819
2312403,2023,4,suspeito_relato_corrente,valor_b4=23762024 < b3=25561321
2312403,2025,6,suspeito_relato_corrente,valor_b6=24947822 < b5=31154933
2312601,2016,6,suspeito_relato_corrente,valor_b6=409614 < b5=440902
2312601,2025,6,suspeito_relato_corrente,valor_b6=2807459 < b5=3110344
2301109,2018,6,suspeito_relato_corrente,valor_b6=23549361 < b5=27202797
2301109,2020,6,suspeito_relato_corrente,valor_b6=67827801 < b5=74713841
2301109,2023,5,suspeito_relato_corrente,valor_b5=25096704 < b4=27593090
2301109,2023,6,suspeito_relato_corrente,valor_b6=21736509 < b5=25096704
2302206,2021,5,suspeito_relato_corrente,valor_b5=1104786 < b4=1176873
2306207,2018,6,suspeito_relato_corrente,valor_b6=1501893 < b5=1774211
2302057,2018,5,suspeito_relato_corrente,valor_b5=1399474 < b4=2023162
2302305,2021,5,suspeito_relato_corrente,valor_b5=1788350 < b4=1899413
