ano,elemento,cod,regiao,empenhado,pago
2015,equip,01,REGIÃO METROPOLITANA DE FORTALEZA,257553669.6,240358904.85
2015,equip,02,LITORAL OESTE,2610485.84,1495879.74
2015,equip,03,SOBRAL / IBIAPABA,6294801.04,4330098.35
2015,equip,04,SERTÃO DE INHAMUNS,8486376.21,7433327.64
2015,equip,05,SERTÃO CENTRAL,30173497.81,12294176.2
2015,equip,06,BATURITÉ,2300867.22,967435.17
2015,equip,07,LITORAL LESTE / JAGUARIBE,1714931.16,1323429.19
2015,equip,08,CARIRI / CENTRO SUL,8751245.44,6309044.34
2015,equip,22,ESTADO DO CEARÁ,11836827.9,5520247.66
2016,equip,01,CARIRI,7667621.22,5881860.79
2016,equip,02,CENTRO SUL,2990984.47,2276447.96
2016,equip,03,GRANDE FORTALEZA,137739065.49,116831523.53
2016,equip,04,LITORAL LESTE,2865054.72,1942848.68
2016,equip,05,LITORAL NORTE,5614374.84,5153435.22
2016,equip,06,LITORAL OESTE / VALE DO CURU,2817200.78,2378698.83
2016,equip,07,MACIÇO DO BATURITÉ,2086227.91,312335.55
2016,equip,08,SERRA DA IBIAPABA,672899.16,557246.3
2016,equip,09,SERTÃO CENTRAL,13632660.61,10962980.08
2016,equip,10,SERTÃO DE CANINDÉ,3391502.85,2148298.2
2016,equip,11,SERTÃO DE SOBRAL,4196855.77,1701482.7
2016,equip,12,SERTÃO DOS CRATEÚS,1211751.0,860007.05
2016,equip,13,SERTÃO DOS INHAMUNS,1244074.0,1207191.32
2016,equip,14,VALE DO JAGUARIBE,1781693.18,1338274.58
2016,equip,15,ESTADO DO CEARÁ,25214985.66,9425379.03
2017,equip,01,CARIRI,10888032.14,7405513.98
2017,equip,02,CENTRO SUL,2198283.43,1664082.82
2017,equip,03,GRANDE FORTALEZA,199573139.59,133239456.36
2017,equip,04,LITORAL LESTE,6120577.34,4792911.6
2017,equip,05,LITORAL NORTE,11415778.65,10437157.73
2017,equip,06,LITORAL OESTE / VALE DO CURU,6282554.95,3777864.15
2017,equip,07,MACIÇO DO BATURITÉ,2067409.29,1516392.2
2017,equip,08,SERRA DA IBIAPABA,2212289.72,1984561.2
2017,equip,09,SERTÃO CENTRAL,4262480.25,3494151.47
2017,equip,10,SERTÃO DE CANINDÉ,4547640.64,2499328.94
2017,equip,11,SERTÃO DE SOBRAL,6420683.51,4305480.03
2017,equip,12,SERTÃO DOS CRATEÚS,2522493.11,1516434.24
2017,equip,13,SERTÃO DOS INHAMUNS,2068290.86,1296235.9
2017,equip,14,VALE DO JAGUARIBE,3415971.08,2797680.12
2017,equip,15,ESTADO DO CEARÁ,21317804.6,7956718.7
2018,equip,01,CARIRI,16176972.55,14114509.09
2018,equip,02,CENTRO SUL,5142613.92,4628811.77
2018,equip,03,GRANDE FORTALEZA,225283446.01,197591171.0
2018,equip,04,LITORAL LESTE,1529474.55,1298896.92
2018,equip,05,LITORAL NORTE,8344112.85,7704595.15
2018,equip,06,LITORAL OESTE / VALE DO CURU,4321409.72,3567973.94
2018,equip,07,MACIÇO DO BATURITÉ,5029771.2,4421344.19
2018,equip,08,SERRA DA IBIAPABA,4395739.89,3162896.09
2018,equip,09,SERTÃO CENTRAL,9422527.55,8400598.98
2018,equip,10,SERTÃO DE CANINDÉ,2980213.38,2611200.93
2018,equip,11,SERTÃO DE SOBRAL,4932043.89,3376105.43
2018,equip,12,SERTÃO DOS CRATEÚS,6365601.88,4896465.42
2018,equip,13,SERTÃO DOS INHAMUNS,2029353.22,1313925.96
2018,equip,14,VALE DO JAGUARIBE,4484868.58,3951692.88
2018,equip,15,ESTADO DO CEARÁ,39725496.75,27048616.61
2019,equip,01,CARIRI,7297081.33,3008027.03
2019,equip,02,CENTRO SUL,3730808.86,1492790.43
2019,equip,03,GRANDE FORTALEZA,103041220.06,67792073.77
2019,equip,04,LITORAL LESTE,1679922.17,787302.1
2019,equip,05,LITORAL NORTE,2945911.71,1550447.19
2019,equip,06,LITORAL OESTE / VALE DO CURU,1931275.6,896175.56
2019,equip,07,MACIÇO DO BATURITÉ,692367.98,435043.68
2019,equip,08,SERRA DA IBIAPABA,1493573.3,722044.12
2019,equip,09,SERTÃO CENTRAL,3876312.2,2734450.19
2019,equip,10,SERTÃO DE CANINDÉ,1579473.09,993259.55
2019,equip,11,SERTÃO DE SOBRAL,4647023.38,3832950.42
2019,equip,12,SERTÃO DOS CRATEÚS,5273405.83,3674903.91
2019,equip,13,SERTÃO DOS INHAMUNS,887875.34,589790.74
2019,equip,14,VALE DO JAGUARIBE,2494756.39,1135464.31
2019,equip,15,ESTADO DO CEARÁ,46841133.85,32560507.47
2020,equip,01,CARIRI,6673313.86,2697613.39
2020,equip,02,CENTRO SUL,4001317.06,2064826.35
2020,equip,03,GRANDE FORTALEZA,264666663.82,194613741.46
2020,equip,04,LITORAL LESTE,2262530.98,1552339.56
2020,equip,05,LITORAL NORTE,2310467.96,1083313.61
2020,equip,06,LITORAL OESTE / VALE DO CURU,2696071.09,1823569.23
2020,equip,07,MACIÇO DO BATURITÉ,1589959.83,1076645.23
2020,equip,08,SERRA DA IBIAPABA,2820159.64,1569946.17
2020,equip,09,SERTÃO CENTRAL,4322014.97,1831970.92
2020,equip,10,SERTÃO DE CANINDÉ,758127.89,227896.58
2020,equip,11,SERTÃO DE SOBRAL,4853084.28,3293765.99
2020,equip,12,SERTÃO DOS CRATEÚS,2495529.87,1582277.03
2020,equip,13,SERTÃO DOS INHAMUNS,1083718.41,351439.36
2020,equip,14,VALE DO JAGUARIBE,6753134.54,1669512.08
2020,equip,15,ESTADO DO CEARÁ,15586331.59,5485841.57
2021,equip,01,CARIRI,78217528.43,32538859.68
2021,equip,02,CENTRO SUL,26647401.1,9835306.35
2021,equip,03,GRANDE FORTALEZA,409550452.88,136044965.67
2021,equip,04,LITORAL LESTE,12281565.28,3718297.16
2021,equip,05,LITORAL NORTE,33722938.53,8982433.76
2021,equip,06,LITORAL OESTE / VALE DO CURU,28300057.23,9211120.86
2021,equip,07,MACIÇO DO BATURITÉ,20631207.31,4850047.28
2021,equip,08,SERRA DA IBIAPABA,24925225.19,6876212.53
2021,equip,09,SERTÃO CENTRAL,33520774.08,8907259.69
2021,equip,10,SERTÃO DE CANINDÉ,16727751.71,4420790.32
2021,equip,11,SERTÃO DE SOBRAL,35629221.14,9767091.0
2021,equip,12,SERTÃO DOS CRATEÚS,29913350.73,8624238.64
2021,equip,13,SERTÃO DOS INHAMUNS,8558541.4,1949007.43
2021,equip,14,VALE DO JAGUARIBE,44985316.53,15067023.54
2021,equip,15,ESTADO DO CEARÁ,22628730.31,12849142.38
2022,equip,01,CARIRI,65828030.41,49150127.47
2022,equip,02,CENTRO SUL,12235017.32,10211183.95
