ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2015,AL,1,1.0,4477,5192,-715,867.7152929258552,9669
2015,AL,1,2.0,14472,15797,-1325,944.6752878929392,30269
2015,AL,1,3.0,3854,4616,-762,956.4403095585704,8470
2015,AL,1,4.0,9839,10957,-1118,957.6716456825808,20796
2015,AL,1,5.0,5004,6311,-1307,1024.9708384714313,11315
2015,AL,1,6.0,4252,5038,-786,918.3141777904581,9290
2015,AL,1,7.0,22124,22250,-126,1050.7979564693649,44374
2015,AL,1,8.0,1135,1078,57,1278.7120863512343,2213
2015,AL,1,9.0,1815,1934,-119,2652.921382024224,3749
2015,AL,2,1.0,74,158,-84,812.5296163721899,232
2015,AL,2,2.0,420,746,-326,857.6766122771716,1166
2015,AL,2,3.0,154,200,-46,818.1296107347089,354
2015,AL,2,4.0,547,645,-98,783.7171574665092,1192
2015,AL,2,5.0,1118,1326,-208,897.700427284454,2444
2015,AL,2,6.0,1483,1510,-27,731.268517971396,2993
2015,AL,2,7.0,13528,12652,876,873.9838836207316,26180
2015,AL,2,8.0,1196,1094,102,998.9044505276562,2290
2015,AL,2,9.0,2294,2379,-85,1762.4620347116254,4673
2015,BA,1,1.0,2582,3004,-422,882.5288536580038,5586
2015,BA,1,2.0,17902,22610,-4708,1034.5988280750207,40512
2015,BA,1,3.0,10965,13281,-2316,1035.5673666738226,24246
2015,BA,1,4.0,22873,31027,-8154,1086.8033379975432,53900
2015,BA,1,5.0,23717,31054,-7337,1129.5636947465118,54771
2015,BA,1,6.0,23546,28636,-5090,1038.777614276127,52182
2015,BA,1,7.0,157984,178056,-20072,1203.0963618751143,336040
2015,BA,1,8.0,5033,5311,-278,1592.9008579323345,10344
2015,BA,1,9.0,11178,12696,-1518,3568.4414181370607,23874
2015,BA,2,1.0,553,490,63,727.6567703527096,1043
2015,BA,2,2.0,3789,4141,-352,791.4255103044159,7930
2015,BA,2,3.0,2308,2644,-336,809.0436607312606,4952
2015,BA,2,4.0,4182,5149,-967,819.9583490282198,9331
2015,BA,2,5.0,5608,6567,-959,874.3826660585994,12175
2015,BA,2,6.0,8794,9735,-941,779.5065467866037,18529
2015,BA,2,7.0,92211,102530,-10319,928.9334301638786,194741
2015,BA,2,8.0,5789,6262,-473,1176.288175366687,12051
2015,BA,2,9.0,15577,16224,-647,2276.3917850417706,31801
2015,CE,1,1.0,1709,1819,-110,934.5738878678338,3528
2015,CE,1,2.0,10467,12886,-2419,1029.505495609094,23353
2015,CE,1,3.0,5052,6492,-1440,1047.9341756149538,11544
2015,CE,1,4.0,17348,20274,-2926,1022.8183830704421,37622
2015,CE,1,5.0,26548,31598,-5050,1021.193613924965,58146
2015,CE,1,6.0,15811,18235,-2424,933.098175265105,34046
2015,CE,1,7.0,112523,112578,-55,1079.4823205342066,225101
2015,CE,1,8.0,4931,5061,-130,1457.723847477514,9992
2015,CE,1,9.0,8968,8565,403,3145.0738524881613,17533
2015,CE,2,1.0,106,120,-14,810.0661599409125,226
2015,CE,2,2.0,922,1120,-198,823.0085039184603,2042
2015,CE,2,3.0,597,967,-370,842.2116131949833,1564
2015,CE,2,4.0,2762,3516,-754,829.3622081998833,6278
2015,CE,2,5.0,6231,7383,-1152,841.1926752033293,13614
2015,CE,2,6.0,5879,7246,-1367,765.4323409020178,13125
2015,CE,2,7.0,67673,71209,-3536,890.2582546065294,138882
2015,CE,2,8.0,5733,6016,-283,1145.41875086053,11749
2015,CE,2,9.0,11002,10752,250,1997.426351263391,21754
2015,MA,1,1.0,1017,1324,-307,884.5368989056802,2341
