ano,mes,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2015,2,AL,8848,9355,-507,18203,1045.2383123660934
2015,2,BA,56123,62923,-6800,119046,1176.0704769584866
2015,2,CE,40053,42080,-2027,82133,1056.1840064285975
2015,2,MA,13938,16198,-2260,30136,1148.3723453676666
2015,2,PB,13347,14557,-1210,27904,994.5967603211009
2015,2,PE,37382,48042,-10660,85424,1151.4411406630454
2015,2,PI,9786,9680,106,19466,989.671118873934
2015,2,RN,13635,17648,-4013,31283,983.9970271393408
2015,2,SE,8909,9066,-157,17975,994.3340751043115
2015,4,AL,8504,21773,-13269,30277,1055.627175743964
2015,4,BA,60933,61826,-893,122759,1198.6213149341393
2015,4,CE,39391,42938,-3547,82329,1096.6002502155984
2015,4,MA,14745,15480,-735,30225,1173.8238213399504
2015,4,PB,11805,14912,-3107,26717,1008.2792978253547
2015,4,PE,39198,59352,-20154,98550,1134.5171588026383
2015,4,PI,10183,9571,612,19754,1025.9907360534576
2015,4,RN,13597,14942,-1345,28539,1030.281614632608
2015,4,SE,8965,11004,-2039,19969,1050.9577344884572
2015,5,AL,8739,18366,-9627,27105,996.8914960339421
2015,5,BA,55795,63214,-7419,119009,1147.0557100723474
2015,5,CE,41058,42737,-1679,83795,1098.289217733755
2015,5,MA,17569,18831,-1262,36400,1185.379423076923
2015,5,PB,11299,13424,-2125,24723,1030.843101565344
2015,5,PE,37497,44800,-7303,82297,1173.4565293996136
2015,5,PI,9587,9524,63,19111,1037.4020721050704
2015,5,RN,13672,15077,-1405,28749,1058.7840272705137
2015,5,SE,8366,12412,-4046,20778,1052.2746655115989
2015,6,AL,7861,9507,-1646,17368,1046.9787540304008
2015,6,BA,51867,60991,-9124,112858,1161.9722571727302
2015,6,CE,42536,41314,1222,83850,1121.7712104949314
2015,6,MA,17143,15142,2001,32285,1193.9852563109803
2015,6,PB,10236,11723,-1487,21959,1035.3895896898766
2015,6,PE,35614,41953,-6339,77567,1152.5686567741436
