ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2020,AL,1,1,3702,4224,-522,724.306230044862,7926
2020,AL,1,2,11078,13235,-2157,785.0605297040689,24313
2020,AL,1,3,4823,4526,297,995.0336866335651,9349
2020,AL,1,4,7053,7242,-189,993.4359597890226,14295
2020,AL,1,5,5904,5836,68,1116.3711227051501,11740
2020,AL,1,6,4893,4632,261,1000.5059202375625,9525
2020,AL,1,7,38730,31968,6762,1203.9521948365048,70698
2020,AL,1,8,1398,1396,2,1434.5702104539967,2794
2020,AL,1,9,2369,2229,140,2695.8993839255486,4598
2020,AL,1,10,63,67,-4,2538.7318972578346,130
2020,AL,1,11,21,24,-3,2224.1604545454547,45
2020,AL,1,80,199,168,31,4049.399708777606,367
2020,AL,2,1,100,122,-22,916.1230953175574,222
2020,AL,2,2,569,514,55,975.0356936530502,1083
2020,AL,2,3,146,188,-42,1008.2245088143186,334
2020,AL,2,4,516,609,-93,979.2361556295999,1125
2020,AL,2,5,770,1133,-363,1048.6990928620983,1903
2020,AL,2,6,1123,1321,-198,823.8711812450152,2444
2020,AL,2,7,17149,16901,248,1053.4507618779733,34050
2020,AL,2,8,1357,1423,-66,1222.3694431744586,2780
2020,AL,2,9,3512,3392,120,1881.4658040029037,6904
2020,AL,2,10,88,84,4,1599.7256882215008,172
2020,AL,2,11,11,16,-5,2552.7217316017313,27
2020,AL,2,80,308,233,75,2811.056437948471,541
2020,BA,1,1,1649,1754,-105,1143.8333368881886,3403
2020,BA,1,2,13143,14407,-1264,1261.1567881078317,27550
2020,BA,1,3,7928,8639,-711,1420.0410665573452,16567
2020,BA,1,4,20872,22209,-1337,1314.653543252772,43081
2020,BA,1,5,22938,24931,-1993,1365.2119072495095,47869
2020,BA,1,6,26366,28141,-1775,1194.7861185517074,54507
2020,BA,1,7,230758,217175,13583,1366.9249573458192,447933
2020,BA,1,8,6775,6755,20,1716.340830897323,13530
2020,BA,1,9,14545,15077,-532,3289.2682963072507,29622
2020,BA,1,10,391,634,-243,2897.8989744729042,1025
2020,BA,1,11,111,205,-94,2358.2582551343394,316
2020,BA,1,80,1295,1391,-96,4513.364204564878,2686
2020,BA,2,1,291,309,-18,1080.9002445169401,600
2020,BA,2,2,1881,2188,-307,1042.7882133297467,4069
2020,BA,2,3,1220,1453,-233,1051.3304950423787,2673
2020,BA,2,4,3348,4166,-818,1003.5304666873891,7514
2020,BA,2,5,4044,5597,-1553,1061.8444483067256,9641
2020,BA,2,6,8266,9754,-1488,891.4374784148539,18020
2020,BA,2,7,115341,118575,-3234,1101.6367863501273,233916
2020,BA,2,8,7493,7804,-311,1314.395119450184,15297
2020,BA,2,9,23548,22469,1079,2303.9651576474266,46017
2020,BA,2,10,506,750,-244,1858.2095648036702,1256
2020,BA,2,11,125,249,-124,1943.8718467817343,374
2020,BA,2,80,2458,2164,294,2867.7161894981996,4622
2020,BA,2,99,0,1,-1,,1
2020,CE,1,1,1563,1334,229,1150.5225897619655,2897
2020,CE,1,2,7165,6864,301,1339.8212787351868,14029
2020,CE,1,3,3968,3981,-13,1580.656840710597,7949
2020,CE,1,4,12754,12879,-125,1355.6440001504236,25633
2020,CE,1,5,21744,20749,995,1309.70667612267,42493
2020,CE,1,6,14026,13576,450,1128.5741942091315,27602
2020,CE,1,7,149364,128783,20581,1206.6795465845346,278147
2020,CE,1,8,6943,6167,776,1647.7681034950028,13110
2020,CE,1,9,12005,11264,741,2983.668185713896,23269
2020,CE,1,10,408,435,-27,3022.0966123732783,843
2020,CE,1,11,79,113,-34,3332.5270846734893,192
2020,CE,1,80,1224,948,276,5033.767238682278,2172
2020,CE,2,1,258,194,64,1035.654200688037,452
2020,CE,2,2,715,826,-111,925.4854054641827,1541
2020,CE,2,3,451,698,-247,1082.1731529067856,1149
2020,CE,2,4,1947,2486,-539,1029.4490932983797,4433
2020,CE,2,5,4672,5219,-547,958.9191749150485,9891
2020,CE,2,6,4270,4830,-560,896.0066739608907,9100
2020,CE,2,7,83207,76526,6681,1057.2688921055978,159733
2020,CE,2,8,6941,6584,357,1314.6163820772088,13525
2020,CE,2,9,16977,15123,1854,2199.151731457366,32100
2020,CE,2,10,393,405,-12,2745.6187864980516,798
2020,CE,2,11,113,120,-7,2779.818040353572,233
2020,CE,2,80,1758,1319,439,3494.156995791787,3077
2020,CE,2,99,0,2,-2,,2
2020,MA,1,1,1087,929,158,1076.0057977148115,2016
2020,MA,1,2,3491,3421,70,1816.5226116440333,6912
2020,MA,1,3,2565,2384,181,1398.829912033374,4949
2020,MA,1,4,6278,6040,238,2070.9199082824903,12318
2020,MA,1,5,10568,9375,1193,1361.1779429972175,19943
2020,MA,1,6,5118,4936,182,1332.1792026642097,10054
2020,MA,1,7,68748,57416,11332,1302.2217175057433,126164
2020,MA,1,8,1817,1674,143,1620.3357882866158,3491
2020,MA,1,9,4543,3816,727,2894.5805734199184,8359
2020,MA,1,10,117,139,-22,2290.279807937953,256
2020,MA,1,11,38,49,-11,3435.9133601349627,87
2020,MA,1,80,392,359,33,3954.708209633669,751
2020,MA,2,1,49,44,5,989.5923616822993,93
2020,MA,2,2,231,249,-18,1056.1880777656827,480
2020,MA,2,3,146,153,-7,1286.4797344739416,299
2020,MA,2,4,373,502,-129,1235.6594569402548,875
2020,MA,2,5,1102,1192,-90,1081.805507616292,2294
2020,MA,2,6,931,1180,-249,978.9104564182949,2111
2020,MA,2,7,34281,29522,4759,1116.4357488298858,63803
2020,MA,2,8,2114,1832,282,1335.167818195807,3946
2020,MA,2,9,7567,5597,1970,2130.3459316512044,13164
2020,MA,2,10,133,189,-56,1737.3779571019184,322
2020,MA,2,11,21,42,-21,1019.424997863248,63
2020,MA,2,80,630,477,153,3722.040479033452,1107
2020,PB,1,1,1377,1115,262,1013.7055446235112,2492
2020,PB,1,2,6387,4976,1411,1080.6617198019107,11363
2020,PB,1,3,2707,2593,114,1192.1161866641003,5300
2020,PB,1,4,5863,5742,121,1134.4343995779566,11605
2020,PB,1,5,6506,6277,229,1164.8968565346127,12783
2020,PB,1,6,5853,5490,363,1015.8679591374749,11343
2020,PB,1,7,50177,43724,6453,1138.9517060082878,93901
2020,PB,1,8,2920,2385,535,1322.4400673471644,5305
2020,PB,1,9,3989,3832,157,2189.1290551457064,7821
2020,PB,1,10,148,167,-19,1725.8592664094547,315
2020,PB,1,11,53,59,-6,1975.9578439153438,112
2020,PB,1,80,273,244,29,3618.573639082558,517
2020,PB,1,99,0,1,-1,,1
2020,PB,2,1,49,59,-10,1047.2031281415345,108
2020,PB,2,2,240,350,-110,956.0026595674796,590
2020,PB,2,3,224,268,-44,1015.6181338263268,492
2020,PB,2,4,776,927,-151,928.2087018451872,1703
2020,PB,2,5,1211,1534,-323,1007.159368243425,2745
2020,PB,2,6,1403,1738,-335,834.8458818046103,3141
2020,PB,2,7,25847,25944,-97,1024.7364497168696,51791
2020,PB,2,8,3071,2355,716,1099.1853368067398,5426
2020,PB,2,9,5495,5270,225,1657.5074330629402,10765
2020,PB,2,10,209,206,3,1412.6014267734038,415
2020,PB,2,11,82,74,8,1300.7251393274946,156
2020,PB,2,80,481,391,90,2119.6536294373423,872
2020,PB,2,99,0,1,-1,,1
2020,PE,1,1,3929,4092,-163,631.2670175288554,8021
2020,PE,1,2,19645,20219,-574,823.1181280331815,39864
2020,PE,1,3,7504,7667,-163,1006.961859259365,15171
2020,PE,1,4,15085,16741,-1656,1141.1995790156436,31826
2020,PE,1,5,16817,18585,-1768,1246.8737015180384,35402
2020,PE,1,6,14076,15400,-1324,1155.259909230651,29476
2020,PE,1,7,145785,137008,8777,1315.534582113229,282793
2020,PE,1,8,5940,5688,252,1746.8406761595452,11628
2020,PE,1,9,12565,12657,-92,3658.402146810451,25222
2020,PE,1,10,505,581,-76,2832.78843138386,1086
2020,PE,1,11,133,189,-56,2311.729491178608,322
2020,PE,1,80,1288,1243,45,4120.718791334897,2531
2020,PE,2,1,332,327,5,951.9679360525852,659
2020,PE,2,2,1757,2283,-526,973.1223771237916,4040
2020,PE,2,3,909,1153,-244,1003.819553158387,2062
2020,PE,2,4,2823,3874,-1051,1060.9713632752391,6697
2020,PE,2,5,3810,4613,-803,1085.4171170149505,8423
2020,PE,2,6,3703,5306,-1603,1007.5181663526372,9009
2020,PE,2,7,78864,80493,-1629,13398.488735094468,159357
2020,PE,2,8,5823,5650,173,1351.9583775733056,11473
2020,PE,2,9,17520,16735,785,2190.73454060411,34255
2020,PE,2,10,492,599,-107,2115.9682246574976,1091
2020,PE,2,11,148,186,-38,1623.8630605398848,334
2020,PE,2,80,1978,1775,203,2662.5797486334704,3753
2020,PE,2,99,0,2,-2,,2
2020,PI,1,1,556,552,4,1014.2606041872444,1108
2020,PI,1,2,3060,3501,-441,1074.6415233898085,6561
2020,PI,1,3,1590,1736,-146,1220.8558345518288,3326
2020,PI,1,4,3648,3993,-345,1378.506333315375,7641
2020,PI,1,5,6158,5914,244,1303.1932040983502,12072
2020,PI,1,6,4109,4586,-477,1735.4061381611475,8695
2020,PI,1,7,29226,25176,4050,1305.2622689977864,54402
2020,PI,1,8,1487,1433,54,1395.306473201086,2920
2020,PI,1,9,2731,2563,168,2118.4320739583804,5294
2020,PI,1,10,74,90,-16,1477.4928966032091,164
2020,PI,1,11,19,16,3,1009.6616468531469,35
2020,PI,1,80,181,189,-8,2688.3032451694867,370
2020,PI,2,1,77,34,43,1131.120455128205,111
2020,PI,2,2,103,139,-36,1032.982248420594,242
2020,PI,2,3,108,150,-42,1011.5143242873736,258
2020,PI,2,4,247,380,-133,1027.7214475826586,627
2020,PI,2,5,695,874,-179,1157.469540186952,1569
2020,PI,2,6,886,1490,-604,892.8705085239266,2376
2020,PI,2,7,14613,13930,683,1092.0076625367071,28543
2020,PI,2,8,1482,1378,104,1212.7217880420721,2860
2020,PI,2,9,3832,3478,354,1660.997801643678,7310
2020,PI,2,10,67,111,-44,1443.6092431119307,178
2020,PI,2,11,13,18,-5,1739.997925925926,31
2020,PI,2,80,293,269,24,2283.1193298984804,562
2020,RN,1,1,921,957,-36,1136.6743896871224,1878
2020,RN,1,2,5046,5708,-662,1134.2959816865393,10754
