ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes
2020,AL,A,1467,1042.3532532345569,7645
2020,AL,B,232,3135.233902606307,586
2020,AL,C,-2541,924.8567470767089,60107
2020,AL,D,11,1901.4805446433636,701
2020,AL,E,72,1736.8819487764652,2836
2020,AL,F,2769,1350.2953518081147,25869
2020,AL,G,1601,1081.153315934316,45699
2020,AL,H,240,1402.3814491901849,6320
2020,AL,I,-934,1164.1516326094832,13900
2020,AL,J,392,1616.140450185252,2062
2020,AL,K,-4,2520.579146131323,748
2020,AL,L,218,1431.9326305428988,1032
2020,AL,M,504,1393.6834019614646,4208
2020,AL,N,-178,1124.4140213471599,18448
2020,AL,O,-79,1102.7434226190476,117
2020,AL,P,-368,1249.744739050118,4752
2020,AL,Q,962,1410.107137207425,8122
2020,AL,R,-75,1978.5300092406842,903
2020,AL,S,111,1236.5725509682363,3309
2020,AL,T,-1,,1
2020,BA,A,2277,1264.1652998571203,71697
2020,BA,B,-393,2412.313602107112,6367
2020,BA,C,1232,1319.9840851896001,121592
2020,BA,D,3,3167.8484078505257,993
2020,BA,E,26,1512.72674008956,7662
2020,BA,F,106,1618.432948529531,159852
2020,BA,G,1666,1191.1674324167636,240134
2020,BA,H,-390,1570.7222548839902,53242
2020,BA,I,-12971,1201.6181657898858,65595
2020,BA,J,2083,2118.5077340387047,13751
2020,BA,K,-602,2445.85210270272,5192
2020,BA,L,140,1462.1635117177782,3636
2020,BA,M,-649,1727.3059214758784,32429
2020,BA,N,2671,1216.0413104281608,121939
2020,BA,O,-563,1964.340021044626,7257
2020,BA,P,-5004,1168.42078362588,29650
2020,BA,Q,9423,1685.4523161240224,67379
2020,BA,R,-906,1442.3272667646972,4494
2020,BA,S,353,1649.1001045563587,19203
2020,BA,T,4,696.6666666666666,12
2020,BA,U,-11,1052.8344444444444,13
2020,CE,A,644,1109.2413517508137,14478
2020,CE,B,236,1684.217347347185,1700
2020,CE,C,6929,1107.1819541021905,126145
2020,CE,D,-15,3958.5798690140896,541
2020,CE,E,301,1380.0352004235658,3943
2020,CE,F,7899,1614.9481751769965,81787
2020,CE,G,3716,1171.8179818569663,153262
2020,CE,H,-1186,1397.6910266282728,27514
2020,CE,I,-3890,1111.2362704419636,39614
2020,CE,J,2344,1773.741494727975,17470
2020,CE,K,-355,2581.2989308538986,6875
2020,CE,L,517,1300.6342476222874,4117
2020,CE,M,1865,1623.9675664885453,15677
2020,CE,N,8213,1304.0924208727886,105415
2020,CE,O,-620,1094.1509689153438,2734
2020,CE,P,-513,1200.1207326245615,19515
2020,CE,Q,5403,1757.2843323281352,31687
2020,CE,R,-989,1710.1594140624693,4951
2020,CE,S,1014,1410.362899680744,16918
