ano,mes,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2020,1,AL,8019,12276,-4257,20295,1193.530123485197
2020,1,BA,48138,46104,2034,94242,1383.7118863031644
2020,1,CE,32300,30656,1644,62956,1342.392970472878
2020,1,MA,11705,11730,-25,23435,1342.8230497512436
2020,1,PB,10046,11358,-1312,21404,1161.0764721734035
2020,1,PE,30449,33205,-2756,63654,1329.2657040843824
2020,1,PI,6836,7322,-486,14158,1238.75878914405
2020,1,RN,10870,12223,-1353,23093,1161.2993758378464
2020,1,SE,7225,6968,257,14193,1169.511620745543
2020,2,AL,8385,16749,-8364,25134,897.5652529218407
2020,2,BA,49312,42498,6814,91810,1342.2044904774677
2020,2,CE,33754,27273,6481,61027,1252.34306551184
2020,2,MA,12077,10255,1822,22332,1299.4472750041743
2020,2,PB,10745,13447,-2702,24192,1080.3008458784877
2020,2,PE,31051,32711,-1660,63762,1217.4814353250163
2020,2,PI,6949,6110,839,13059,1246.941730909091
2020,2,RN,11119,13558,-2439,24677,1128.8951619820073
2020,2,SE,6720,8849,-2129,15569,1144.7127658733295
2020,3,AL,7375,12997,-5622,20372,1077.0166143419833
2020,3,BA,46437,60190,-13753,106627,1365.6990114458174
2020,3,CE,30575,33259,-2684,63834,1232.186734911719
2020,3,MA,11425,12568,-1143,23993,1347.735934094049
2020,3,PB,10712,11380,-668,22092,1124.2861637196422
2020,3,PE,27112,51906,-24794,79018,1270.4512199661854
2020,3,PI,7249,7163,86,14412,1257.1158272859216
2020,3,RN,10843,12896,-2053,23739,1174.7706447831185
2020,3,SE,5538,8164,-2626,13702,1279.8684702974667
2020,4,AL,2797,10487,-7690,13284,1026.7213226848528
2020,4,BA,23527,58625,-35098,82152,1342.5776308099782
2020,4,CE,12450,43535,-31085,55985,1242.7041850509102
2020,4,MA,7002,12955,-5953,19957,1340.9944006042294
2020,4,PB,3382,12075,-8693,15457,1266.275198348326
2020,4,PE,13743,39955,-26212,53698,1593.3727459652555
2020,4,PI,2322,7934,-5612,10256,1282.8653562383
2020,4,RN,4488,13266,-8778,17754,1231.3870493066256
2020,4,SE,2194,7307,-5113,9501,1208.5745388104838
2020,5,AL,5065,7545,-2480,12610,1249.6946980516618
2020,5,BA,24953,43255,-18302,68208,1435.0595419669455
2020,5,CE,14385,24072,-9687,38457,1364.762206373542
2020,5,MA,9362,10619,-1257,19981,1376.810784074397
2020,5,PB,4582,8114,-3532,12696,1233.0753168952942
2020,5,PE,17107,24648,-7541,41755,1371.9517383995517
2020,5,PI,2904,6340,-3436,9244,1679.4147966062296
2020,5,RN,6293,9634,-3341,15927,1236.1439562764458
2020,5,SE,2604,6226,-3622,8830,1257.6346512868383
2020,6,AL,5665,4851,814,10516,1249.2781353956987
2020,6,BA,30117,33101,-2984,63218,1462.5275950915832
2020,6,CE,18698,20530,-1832,39228,1370.3498362235068
2020,6,MA,12029,8313,3716,20342,1555.2937607445933
2020,6,PB,5727,5687,40,11414,1229.250638480626
2020,6,PE,17761,21326,-3565,39087,33783.095252944666
2020,6,PI,5064,4728,336,9792,1208.8272704416265
2020,6,RN,9550,7855,1695,17405,1214.483973493528
2020,6,SE,3992,4797,-805,8789,1415.8412652320455
2020,7,AL,7377,5718,1659,13095,1241.1338255089322
2020,7,BA,37528,33358,4170,70886,1419.6980900015844
2020,7,CE,27111,20155,6956,47266,1427.1860816535855
2020,7,MA,14455,9083,5372,23538,1799.599655565585
2020,7,PB,9060,6980,2080,16040,1161.6740669405347
2020,7,PE,28349,22608,5741,50957,1365.9710720048847
2020,7,PI,5913,4352,1561,10265,1442.1327016379846
2020,7,RN,10187,8829,1358,19016,1257.669159902367
2020,7,SE,4496,5284,-788,9780,1248.443744865626
2020,8,AL,9687,5878,3809,15565,1152.4378205664852
2020,8,BA,44376,35393,8983,79769,1451.8305370730352
2020,8,CE,33879,21709,12170,55588,1358.675294427018
2020,8,MA,15600,9708,5892,25308,1610.1081336974898
2020,8,PB,16420,6704,9716,23124,1129.4674451052151
2020,8,PE,37741,25219,12522,62960,1425.7898182695953
2020,8,PI,6753,4680,2073,11433,1329.3402617220013
2020,8,RN,14546,8615,5931,23161,1174.209412141452
2020,8,SE,5160,4833,327,9993,1232.6576915149433
2020,9,AL,22834,6161,16673,28995,940.4123373406193
2020,9,BA,51646,34946,16700,86592,1386.6327116658176
2020,9,CE,36942,24148,12794,61090,1290.3190297056717
2020,9,MA,15453,10365,5088,25818,1413.4231094602137
2020,9,PB,13151,11252,1899,24403,1149.8134680149678
2020,9,PE,46595,24390,22205,70985,1192.0076205897392
2020,9,PI,7707,5274,2433,12981,1329.6494596601221
2020,9,RN,13956,9529,4427,23485,1204.263448573114
2020,9,SE,8842,5337,3505,14179,1262.228843007708
2020,10,AL,10839,6208,4631,17047,1183.8769799092677
2020,10,BA,55208,39046,16162,94254,1413.5127215603832
2020,10,CE,42938,26361,16577,69299,1354.1006758294407
2020,10,MA,16775,10838,5937,27613,1361.8475192268975
2020,10,PB,13139,11683,1456,24822,1193.5447504025765
2020,10,PE,40319,27185,13134,67504,1347.116402949996
2020,10,PI,8903,5389,3514,14292,1275.0401457357423
2020,10,RN,13919,9234,4685,23153,1197.2591202831272
2020,10,SE,8912,5180,3732,14092,1216.5100899108847
2020,11,AL,9522,5828,3694,15350,1188.003770610881
2020,11,BA,54196,40342,13854,94538,1406.4232480545536
2020,11,CE,39812,23349,16463,63161,1330.0186321933572
2020,11,MA,15286,10895,4391,26181,1337.2914612351065
2020,11,PB,17782,7657,10125,25439,1162.7060677558468
2020,11,PE,39190,25466,13724,64656,1330.4123170224448
2020,11,PI,8134,5977,2157,14111,1180.294619205298
2020,11,RN,14035,9277,4758,23312,1244.2128456320845
2020,11,SE,7404,4688,2716,12092,1222.7722339051836
2020,12,AL,8317,6785,1532,15102,1168.1459379407615
2020,12,BA,49854,49939,-85,99793,1333.4448539477917
2020,12,CE,30101,26378,3723,56479,1318.5615153196945
2020,12,MA,11171,14188,-3017,25359,1295.2884123692752
2020,12,PB,10595,9385,1210,19980,1131.5181862558984
2020,12,PE,32014,34447,-2433,66461,1314.0394391716998
2020,12,PI,6521,6731,-210,13252,1343.8549190775682
2020,12,RN,11137,12083,-946,23220,1213.4726905744508
2020,12,SE,6461,5851,610,12312,1202.5690689429985
2021,1,AL,9386,9578,-192,18964,1209.4832132712193
2021,1,BA,57611,42691,14920,100302,1396.3111233946413
2021,1,CE,39314,31303,8011,70617,1305.9330607304184
2021,1,MA,15047,15019,28,30066,1358.0492975146199
2021,1,PB,11927,12112,-185,24039,1176.2286532362532
2021,1,PE,35886,34475,1411,70361,1315.1029714568297
2021,1,PI,8813,7154,1659,15967,1305.258859110241
2021,1,RN,14398,12186,2212,26584,1199.6678987736188
2021,1,SE,7337,6870,467,14207,1233.9004840983864
2021,2,AL,9035,9587,-552,18622,1193.8657228741547
2021,2,BA,61692,42886,18806,104578,1423.8486613814189
2021,2,CE,43349,30939,12410,74288,1495.8695831823125
2021,2,MA,16036,12727,3309,28763,1391.7600680220978
2021,2,PB,13331,13407,-76,26738,1187.7719320403535
2021,2,PE,39597,37768,1829,77365,1220.6342194644023
2021,2,PI,10166,7326,2840,17492,1315.7747021186694
2021,2,RN,14601,12759,1842,27360,1290.7171447850394
2021,2,SE,7530,7336,194,14866,1226.4904972882132
2021,3,AL,9883,18309,-8426,28192,1071.215834665279
2021,3,BA,58425,49003,9422,107428,1450.800783055071
2021,3,CE,34817,36111,-1294,70928,1462.9948331929966
2021,3,MA,15932,12270,3662,28202,1405.867469229276
2021,3,PB,13028,10965,2063,23993,1189.870249305073
2021,3,PE,36328,38921,-2593,75249,1332.5128056763888
2021,3,PI,8218,6925,1293,15143,1336.722216480447
2021,3,RN,15422,13341,2081,28763,1258.8864266018431
2021,3,SE,7592,9074,-1482,16666,1229.3815980230643
2021,4,AL,8656,11909,-3253,20565,1172.2013529079036
2021,4,BA,55254,45303,9951,100557,1478.964831844064
2021,4,CE,30606,27198,3408,57804,1461.2449610590497
2021,4,MA,15286,12186,3100,27472,1436.0415271170314
2021,4,PB,10814,10282,532,21096,1223.981176237624
2021,4,PE,33752,28681,5071,62433,1462.0007911583523
2021,4,PI,8493,6416,2077,14909,1254.0681316241764
2021,4,RN,12466,12563,-97,25029,1286.1959641522258
2021,4,SE,6262,6624,-362,12886,1378.256851867681
2021,5,AL,10307,7074,3233,17381,1270.4711342422008
2021,5,BA,59030,47912,11118,106942,1489.4365735191095
2021,5,CE,31868,27293,4575,59161,1415.1751401659565
2021,5,MA,15803,12102,3701,27905,1414.0552203732855
2021,5,PB,12283,9301,2982,21584,1226.5100794438927
2021,5,PE,36428,28178,8250,64606,1443.7295043858242
2021,5,PI,9450,6031,3419,15481,1324.8343785121756
2021,5,RN,12928,10757,2171,23685,1247.4519874730022
2021,5,SE,6582,6057,525,12639,1422.6509862899877
2021,6,AL,11828,6841,4987,18669,1290.4040155029988
2021,6,BA,56833,48303,8530,105136,1546.8100115372958
2021,6,CE,38319,28390,9929,66709,1426.0694216136262
2021,6,MA,18986,11943,7043,30929,1400.127661023808
2021,6,PB,12123,8733,3390,20856,1256.02491776956
2021,6,PE,35606,28679,6927,64285,29074.386080627097
2021,6,PI,11712,6605,5107,18317,1254.6333303541503
2021,6,RN,15101,10219,4882,25320,1278.6533998230516
2021,6,SE,7080,5968,1112,13048,1290.8504358911093
2021,7,AL,12073,7979,4094,20052,1276.7901265952016
2021,7,BA,59316,48361,10955,107677,1480.0524231842905
2021,7,CE,43355,29677,13678,73032,1391.7812204147176
2021,7,MA,18427,13306,5121,31733,1382.200253347335
2021,7,PB,14101,10654,3447,24755,1227.1622171741978
2021,7,PE,38370,29193,9177,67563,1430.7918397241253
2021,7,PI,9736,6894,2842,16630,1389.9654013202542
2021,7,RN,15974,11347,4627,27321,1243.9455935433248
2021,7,SE,7204,5688,1516,12892,1334.1814909002273
2021,8,AL,14350,8863,5487,23213,1218.1674882101458
2021,8,BA,65262,46957,18305,112219,1435.256909931938
2021,8,CE,48557,31784,16773,80341,1345.9001768704045
2021,8,MA,18092,13417,4675,31509,1371.5069337416846
2021,8,PB,21225,10670,10555,31895,1143.8431785816008
2021,8,PE,48706,31315,17391,80021,1317.061310173124
2021,8,PI,10610,7631,2979,18241,1302.0752385490835
2021,8,RN,19220,11670,7550,30890,1226.0182738391172
2021,8,SE,8475,6727,1748,15202,1254.005635214943
2021,9,AL,25628,8650,16978,34278,1072.7174354018614
2021,9,BA,63599,52121,11478,115720,1501.7234726125457
2021,9,CE,47532,33428,14104,80960,1347.5978704481881
2021,9,MA,17610,14344,3266,31954,1447.9970842890834
2021,9,PB,15623,10486,5137,26109,1239.052345750873
2021,9,PE,60743,33586,27157,94329,1296.0194295580854
2021,9,PI,10724,7347,3377,18071,1411.3502919461196
