fonte,ano,mes,status,registros
caged_antigo,2015,1,falha_ou_ausente,
caged_antigo,2015,2,ok,431570.0
caged_antigo,2015,3,falha_ou_ausente,
caged_antigo,2015,4,ok,459119.0
caged_antigo,2015,5,ok,441967.0
caged_antigo,2015,6,ok,413479.0
caged_antigo,2015,7,falha_ou_ausente,
caged_antigo,2015,8,ok,423775.0
caged_antigo,2015,9,ok,420948.0
caged_antigo,2015,10,ok,391512.0
caged_antigo,2015,11,falha_ou_ausente,
caged_antigo,2015,12,ok,334935.0
caged_antigo,2016,1,ok,360483.0
caged_antigo,2016,2,ok,359881.0
caged_antigo,2016,3,falha_ou_ausente,
caged_antigo,2016,4,ok,356582.0
caged_antigo,2016,5,falha_ou_ausente,
caged_antigo,2016,6,ok,339928.0
caged_antigo,2016,7,ok,344110.0
caged_antigo,2016,8,ok,379751.0
caged_antigo,2016,9,ok,339988.0
caged_antigo,2016,10,ok,330417.0
caged_antigo,2016,11,ok,332572.0
caged_antigo,2016,12,ok,301733.0
caged_antigo,2017,1,ok,368329.0
caged_antigo,2017,2,ok,347860.0
caged_antigo,2017,3,ok,340219.0
caged_antigo,2017,4,falha_ou_ausente,
caged_antigo,2017,5,ok,326560.0
caged_antigo,2017,6,falha_ou_ausente,
caged_antigo,2017,7,ok,310821.0
caged_antigo,2017,8,ok,345184.0
caged_antigo,2017,9,ok,323588.0
caged_antigo,2017,10,ok,328595.0
caged_antigo,2017,11,ok,312168.0
caged_antigo,2017,12,falha_ou_ausente,
caged_antigo,2018,1,ok,340059.0
caged_antigo,2018,2,ok,326353.0
caged_antigo,2018,3,ok,343480.0
caged_antigo,2018,4,ok,325383.0
caged_antigo,2018,5,ok,335130.0
caged_antigo,2018,6,ok,311265.0
caged_antigo,2018,7,ok,316357.0
caged_antigo,2018,8,ok,360956.0
caged_antigo,2018,9,ok,341943.0
caged_antigo,2018,10,ok,333940.0
caged_antigo,2018,11,ok,318989.0
caged_antigo,2018,12,ok,301404.0
caged_antigo,2019,1,falha_ou_ausente,
caged_antigo,2019,2,ok,353553.0
caged_antigo,2019,3,falha_ou_ausente,
caged_antigo,2019,4,ok,338343.0
caged_antigo,2019,5,ok,338107.0
caged_antigo,2019,6,ok,318386.0
caged_antigo,2019,7,ok,347264.0
caged_antigo,2019,8,falha_ou_ausente,
caged_antigo,2019,9,falha_ou_ausente,
caged_antigo,2019,10,ok,357028.0
caged_antigo,2019,11,ok,335962.0
caged_antigo,2019,12,ok,303459.0
