fonte,ano,mes,status,registros
caged_novo,2020,1,ok,337430.0
caged_novo,2020,2,ok,341562.0
caged_novo,2020,3,ok,367789.0
caged_novo,2020,4,ok,278044.0
caged_novo,2020,5,ok,227708.0
caged_novo,2020,6,ok,219791.0
caged_novo,2020,7,ok,260843.0
caged_novo,2020,8,ok,306901.0
caged_novo,2020,9,ok,348528.0
caged_novo,2020,10,ok,352076.0
caged_novo,2020,11,ok,338840.0
caged_novo,2020,12,ok,331958.0
caged_novo,2021,1,ok,371107.0
caged_novo,2021,2,ok,390072.0
caged_novo,2021,3,ok,394564.0
caged_novo,2021,4,ok,342751.0
caged_novo,2021,5,ok,349384.0
caged_novo,2021,6,ok,363269.0
caged_novo,2021,7,ok,381655.0
caged_novo,2021,8,ok,423531.0
caged_novo,2021,9,ok,451619.0
caged_novo,2021,10,falha_ou_ausente,
caged_novo,2021,11,ok,409302.0
caged_novo,2021,12,ok,402802.0
caged_novo,2022,1,ok,443150.0
caged_novo,2022,2,ok,464839.0
caged_novo,2022,3,ok,488234.0
caged_novo,2022,4,ok,450875.0
caged_novo,2022,5,ok,465157.0
caged_novo,2022,6,ok,448159.0
caged_novo,2022,7,ok,474296.0
caged_novo,2022,8,ok,520771.0
caged_novo,2022,9,ok,501837.0
caged_novo,2022,10,ok,457780.0
caged_novo,2022,11,ok,444179.0
caged_novo,2022,12,ok,422364.0
caged_novo,2023,1,ok,485409.0
caged_novo,2023,2,ok,455595.0
caged_novo,2023,3,ok,527243.0
caged_novo,2023,4,ok,471609.0
caged_novo,2023,5,ok,505123.0
caged_novo,2023,6,ok,483476.0
caged_novo,2023,7,ok,488627.0
caged_novo,2023,8,ok,547844.0
caged_novo,2023,9,ok,511396.0
caged_novo,2023,10,ok,486631.0
caged_novo,2023,11,ok,481545.0
caged_novo,2023,12,ok,441328.0
caged_novo,2024,1,ok,512118.0
caged_novo,2024,2,ok,527289.0
caged_novo,2024,3,ok,563981.0
caged_novo,2024,4,ok,554933.0
caged_novo,2024,5,ok,537904.0
caged_novo,2024,6,ok,518034.0
caged_novo,2024,7,ok,561897.0
caged_novo,2024,8,ok,589822.0
caged_novo,2024,9,ok,560735.0
caged_novo,2024,10,ok,571523.0
caged_novo,2024,11,ok,518565.0
caged_novo,2024,12,ok,476293.0
caged_novo,2025,1,ok,601701.0
caged_novo,2025,2,ok,630920.0
caged_novo,2025,3,ok,578185.0
caged_novo,2025,4,ok,582798.0
caged_novo,2025,5,ok,599666.0
caged_novo,2025,6,ok,554829.0
caged_novo,2025,7,ok,604998.0
caged_novo,2025,8,ok,621682.0
caged_novo,2025,9,ok,625365.0
caged_novo,2025,10,ok,622713.0
caged_novo,2025,11,ok,538629.0
caged_novo,2025,12,ok,496928.0
