ano,share_ce_brasil,share_ce_nordeste,fonte
2015,0.0203,0.1442,IBGE Contas Regionais 2015
2016,0.0220,0.1453,IBGE Contas Regionais 2016
2017,0.0203,0.1452,IBGE Contas Regionais 2017
2018,0.0203,0.1454,IBGE Contas Regionais 2018
2019,0.0212,0.1466,IBGE Contas Regionais 2019
2020,0.0223,0.1485,IBGE Contas Regionais 2020
2021,0.0214,0.1473,IBGE Contas Regionais 2021
2022,0.0218,0.1481,IBGE Contas Regionais 2022
2023,0.0220,0.1490,Estimativa preliminar IPECE 2023
2024,0.0220,0.1500,Estimativa carry-forward 2024 (preliminar)
2025,0.0220,0.1500,Estimativa carry-forward 2025 (preliminar)
